"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","comment"
"sample_00001",34.883128,6.53826882603862,727.48368,80.5242532179471,99.7974108000001,7.32426219640427,37.65609,4.46849199090501,24.7863564,2.92874272282339,1.551632,0.317508103427197,-0.02,0.68,5,125,237.2,220,43.98,456.75,91.35,7.34,0.87,1.45,36.35,183.61,21.8,"sample_00001-21","13.04.2022","t0",NA
"sample_00001",39.0871219512195,6.83053468922775,3221.02426829268,160.963284890559,231.04486097561,12.7181586946635,93.5160146341463,8.2545183903526,44.0623536585366,2.64833272120784,2.13893495934959,0.287668574665001,0.03,0.26,5,123,1858.04,1338,267.53,3318.24,663.65,127.76,8.36,11.65,182.93,1067.72,208.98,"sample_00001-23","13.04.2022","t0",NA
"sample_00001",41.218392,7.07579798064068,3579.81282,268.032463880682,237.3903288,15.414292747098,92.0362824,7.03361873828076,49.6711764,3.66623813667106,1.867392,0.224511580849371,0.05,0.17,5,125,2524.69,2525,504.94,3145.93,629.19,41.87,8.37,7.24,180.95,1046.75,209.3,"sample_00001-25","13.04.2022","t0",NA
"sample_00001",106.422693069307,44.6978234180911,1046.51198019802,418.305685565191,128.841888118812,35.6980443767009,45.070846039604,10.1010440992743,28.8098153465347,9.25935760904001,1.83557425742574,1.04150186122287,-0.02,1.27,4.48,101,437.02,99,22.04,1357.55,303.02,172.17,0.33,21.87,280.17,1434.78,8.3,"sample_00001-26","13.04.2022","t0",NA
"sample_00001",22.812912,2.8411713083663,452.0529,80.9580781838712,77.2987536,7.52091235371515,29.4045876,3.36867510694568,19.6261056,3.1610478212253,1.539672,0.318027179199636,0,0.34,5,125,492.91,493,98.58,537.63,107.53,7.08,0.99,1.44,35.93,177,24.64,"sample_00001-28","13.04.2022","t0",NA
"sample_00001",44.988504,6.25610053831845,749.791080000001,69.302981036009,108.813456,10.0071350119242,44.191494,5.28982357008292,21.7198584,1.42641381103519,2.054128,0.344628223620946,-0.03,0.51,5,125,242.75,238,47.52,436.33,87.27,7.16,0.48,1.28,32.1,178.99,12.1,"sample_00001-30","13.04.2022","t0",NA
"sample_00001",53.289054054054,6.11873439594399,1240.82695945946,118.356929830643,132.421098648649,7.39794331090186,50.9557864864865,4.53239395151798,31.1351959459459,3.1064464910663,1.65767567567568,0.251153898597614,-0.03,0.25,1.48,37,1481.16,1481,1000.78,1633.08,1103.43,59.96,16.45,10.79,269.81,1498.88,411.18,"sample_00001-31","13.04.2022","t0",NA
"sample_00001",39.4329156626506,3.03975895708701,1435.51518072289,165.307411939211,141.080481325301,9.3884914482414,52.5992530120482,3.35954925348724,34.6612174698795,3.55745006063738,1.54513253012048,0.288214806879341,0.01,0.21,3.36,83,3139.45,3139,934.36,3343.51,995.09,107.89,13.09,10.49,187.39,1348.6,327.26,"sample_00001-32","13.04.2022","t0",NA
"sample_00001",52.94868,7.52674049274726,1335.29472,118.757841733959,132.8074056,6.84274358007001,46.8415548,3.28250931948057,36.3313512,2.58477709981039,1.297408,0.14752611010018,-0.07,0.49,5,125,214.37,73,14.55,1036.25,207.25,23.51,0.32,4.72,117.89,587.78,8.11,"sample_00001-34","13.04.2022","t0",NA
"sample_00001",37.23132,11.008359956371,2465.49258,254.374542138554,199.0098072,17.2005936226152,79.5751776,9.60087866952991,39.6717912,3.29371401664291,2.028192,0.339777647786731,-0.06,0.33,5,125,1800.83,1620,324.04,2903.86,580.77,43.77,8.42,6.99,174.86,1094.3,210.43,"sample_00001-36","13.04.2022","t0",NA
"sample_00001",54.2148648648649,3.33555994101742,2192.17195945946,100.237052210302,177.296302702703,4.72629371709697,68.7450283783784,2.1541453797962,40.6043148648649,1.42557520037551,1.69508108108108,0.0821331501548209,0.02,0.26,1.48,37,1877.51,1878,1268.59,2046.37,1382.68,61.84,47.64,3.95,98.67,1545.94,1191.04,"sample_00001-37","13.04.2022","t0",NA
"sample_00001",34.344688,5.47086180835017,516.74436,35.3899885633567,87.7926276,3.98756477560622,36.1092816,1.65608956668548,18.236988,1.19880909216256,1.990376,0.181823410608099,-0.01,0.38,5,125,394.79,395,78.96,479.87,95.97,7.33,0.21,1.52,38.11,183.32,5.19,"sample_00001-38","13.04.2022","t0",NA
"sample_00001",57.3778048780488,6.07541933607519,1212.98487804878,91.6591735551264,131.71815,6.85384917764894,50.7523280487805,3.49307295855919,30.4586012195122,1.51064618460445,1.67173983739837,0.154720257206797,-0.03,0.31,5,123,4672.45,4672,934.49,5247.68,1049.54,124.11,2.67,13.67,246.3,1551.38,66.78,"sample_00001-4","13.04.2022","t0",NA
"sample_00001",35.5987606837607,3.70478923419676,3167.22461538462,325.779608811067,233.597180769231,14.8444840264912,96.359226923077,7.29449628697643,41.80905,3.69071550395906,2.3204188034188,0.24487179049722,-0.03,0.2,4.68,117,3199.33,3199,683.62,3674.92,785.24,55.22,8.79,6.06,151.41,1380.44,219.7,"sample_00001-40","13.04.2022","t0",NA
"sample_00001",57.120448,4.49958844436301,5402.45862,849.464739834932,303.8103612,30.6721198583711,122.6190636,9.61298047028452,56.0232288,6.1818651214279,2.205376,0.229803585979489,0.01,0.5,5,125,1283.35,1283,256.67,1954.52,390.9,63.7,1.05,7.91,197.71,1592.45,26.29,"sample_00001-42","13.04.2022","t0",NA
"sample_00001",31.804792,5.06231269553302,844.53192,76.2722223831965,108.1192536,5.60231728253232,41.7385548,2.85170079575064,25.7830128,1.89704080325912,1.629216,0.181438809733252,0.02,0.33,5,125,423.54,424,84.71,513.43,102.69,7.76,0.35,1.61,40.18,194.07,8.74,"sample_00001-44","13.04.2022","t0",NA
"sample_00001",42.5708484848485,2.67588011364032,1050.25704545455,139.871882869164,122.039631818182,9.02214280995667,47.4685772727273,3.4438658324914,28.0375363636364,3.05650006493008,1.71230303030303,0.195630788228822,0,0.22,1.32,33,1262.97,1263,956.79,1351.32,1023.73,50.08,27.23,4.32,108.04,1252.01,680.71,"sample_00001-46","13.04.2022","t0",NA
"sample_00001",29.363475,1.81552055101391,2616.6088125,531.060105088853,209.74332375,27.8486822703701,85.689495,11.5095032089641,38.17611,5.74362593979689,2.267725,0.204976670029568,0,0.04,1.6,40,1007.58,1008,629.74,1010.48,631.55,30.22,15.95,3.43,85.77,755.38,398.81,"sample_00001-48","13.04.2022","t0",NA
"sample_00001",52.2299838709678,9.61314230580239,1495.66989919355,174.960420090406,147.570927822581,7.90485951833721,57.657922983871,3.19485350397252,33.0066508064516,2.99025175891028,1.75892741935484,0.166929573455692,0,0.19,5,124,4676.76,4677,935.35,5022.56,1004.51,116.8,6.99,10.76,210.26,1552.74,174.85,"sample_00001-50","13.04.2022","t0",NA
"sample_00001",64.9749916666667,10.6563064079649,5548.5556875,624.204644145484,309.9473775,26.9222519785525,126.8742825,15.5129581161489,55.83205125,2.35705683164035,2.28225,0.324542606388352,-0.05,0.45,4.84,120,2930.92,2844,587.67,3545.44,732.53,102.68,2.82,16.47,379.22,1283.45,70.55,"sample_00001-55","13.04.2022","t0",NA
"sample_00001",61.0921056910569,5.85506409620809,1877.48615853659,169.334319947309,163.371962195122,8.11504486308301,61.9671731707317,3.97260171043689,38.6090121951219,2.93839313119545,1.61561788617886,0.171899824064854,0,0.29,5,123,5540.67,5541,1108.13,6178.65,1235.73,126.11,34.38,10.72,161.67,1576.41,859.41,"sample_00001-7","13.04.2022","t0",NA
"sample_00001",120.499392,3.20257110393227,67820.00724,895.833809597475,1900.9882872,43.0404804157526,855.98289,39.1660283075708,101.1126564,5.30624876374079,8.508336,0.829105959841781,0,0.04,5,125,2802.47,2802,560.49,2836.66,567.33,43.99,14.53,5.11,127.74,1099.8,363.24,"sample_00001-8","13.04.2022","t0",NA
"sample_00001",51.2406081081081,7.17469706642739,1461.59574324324,162.865255509515,144.143714189189,7.79033127870397,55.2047290540541,3.35661499263284,33.701472972973,3.04629005318989,1.65087837837838,0.177548909156153,0.01,0.23,3.04,74,3856.06,3856,1268.44,4074.3,1340.23,187.29,33.84,16.81,158.54,1600.44,846.1,"sample_00001-81","13.04.2022","t0",NA
"sample_00001",58.9749350649351,4.20849363392421,2095.04659090909,218.701308010443,173.057025974026,10.2578986256311,66.6793577922078,3.87214204319801,39.9180097402597,3.6612308927287,1.68364935064935,0.161560219034801,0.01,0.27,3.16,77,4059.98,4060,1284.8,4415.89,1397.43,190.38,39.5,15.96,108.74,1588.61,987.51,"sample_00001-82","13.04.2022","t0",NA
"sample_00001",35.3324,6.98081990951571,2122.4835,777.00395989843,186.52446,36.3273557296226,76.36068,15.7040583805892,34.34256,11.0123739004472,2.46895555555556,0.82709760761669,0,0.06,1.8,45,875.52,876,486.4,882.38,490.21,39.31,10.86,6.33,158.27,982.79,271.46,"sample_00001-95","13.04.2022","t0",NA
"sample_00001",133.764549295775,28.4320434664777,39117.1902464789,22110.4491860993,1119.42855633803,495.21291911705,484.205735915493,231.090541594714,91.6170464788732,25.7554737374967,4.91807042253521,1.56127102363924,0.01,0.08,2.84,71,748.22,748,263.46,753.8,265.42,20.36,5.07,3.6,90.13,508.95,126.7,"sample_00001-97","13.04.2022","t0",NA
"sample_00002",44.7150869565218,7.63702121343739,3198.13092391304,593.736154753748,216.017139130435,25.0869327205506,81.4973576086957,9.95834578921936,49.3902782608696,6.61210764610946,1.66763043478261,0.190886511798171,0,0.08,1.84,46,1152.31,1152,626.25,1174.81,638.48,39.65,7.63,7.36,184.06,991.34,190.74,"sample_00002-106","13.04.2022","t0",NA
"sample_00002",43.4596551724138,5.68973997821556,3156.06724137931,735.001409005071,216.235225862069,36.8839912626995,82.8850655172414,14.8324859150393,47.4044120689655,8.51336095726526,1.79355172413793,0.338374642984338,0.01,0.1,1.16,29,657.75,658,567.03,702.46,605.57,37.14,10.3,6.39,159.66,928.5,257.52,"sample_00002-11","13.04.2022","t0",NA
"sample_00002",36.8864337349398,9.52927124666449,2216.31370481928,1291.05238767025,173.778034337349,64.4638713903812,64.6670819277108,25.3591540439441,40.1212030120482,10.900176477533,1.58877108433735,0.348877759195115,-0.02,0.52,3.32,83,852.24,852,256.7,1510.45,454.95,44.07,2.24,9.54,238.55,1101.85,56.07,"sample_00002-119","13.04.2022","t0",NA
"sample_00002",33.86992,4.11892349034973,1315.21806,432.278102414293,155.5637076,22.8458709400186,65.9522736,7.45934088986911,25.1320644,5.38780159053995,2.706056,0.508178678635138,0.02,0.37,5,125,385.31,101,20.11,740.42,148.08,31.59,0.24,7.4,185.05,789.67,6.09,"sample_00002-12","13.04.2022","t0",NA
"sample_00002",37.3913711340206,5.96979169150745,2404.06538659794,309.643867890064,191.968162886598,18.8043253641661,75.1459128865979,8.96931905387308,40.6359463917526,3.56424927660709,1.85953608247423,0.23082122690225,-0.06,0.37,3.88,97,1361.9,1362,351.01,2198.15,566.53,34.31,1.82,7.97,199.33,857.76,45.45,"sample_00002-13","13.04.2022","t0",NA
