id,patch_size,disturbance,disturbance,replicate,metaecosystem,metaeco,species,Ble,Cep,Col,Eug,Eup,Lox,Pau,Pca,Spi,Spi_te,Tet,time_points,resource_exchanges,water_add_before_t3,water_add_after_t3,water_add_after_t4,water_add_after_t5,water_add_after_t6
41,37.5,low,5.25,3,28,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2.5,1.5,1,1.5,1.5
42,37.5,low,5.25,4,29,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2.5,1.5,1,1.5,1
43,37.5,low,5.25,4,29,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,3.5,2,1,2,1.5
44,37.5,low,5.25,5,30,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,3.5,1,1,1,1
45,37.5,low,5.25,5,30,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,3.5,2,1,1,1
46,7.5,low,5.25,1,31,S_L,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2,1.5,1,1,1
47,37.5,low,5.25,1,31,S_L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,2,1.5,1,1.5,1.5
48,7.5,low,5.25,2,32,S_L,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,3,1.5,0.5,1.5,1
49,37.5,low,5.25,2,32,S_L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,2,1.5,1,1.5,1
50,7.5,low,5.25,3,33,S_L,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,1.5,1,0.5,1.5,1
51,37.5,low,5.25,3,33,S_L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,3,0.5,1,2,1.5
52,7.5,low,5.25,4,34,S_L,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,1,2,0.5,1.5,1
53,37.5,low,5.25,4,34,S_L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,1.5,1,1,1.5,1
54,7.5,low,5.25,5,35,S_L,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,1.5,1.5,1,1,1.5
55,37.5,low,5.25,5,35,S_L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,2,2.5,1,1,1.5
56,7.5,high,6.75,1,36,S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,3.5,2.5,1.5,1.5,2
57,7.5,high,6.75,2,37,S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,3.5,2.5,1,1.5,1.5
58,7.5,high,6.75,3,38,S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,3,1.5,1,1.5,2
59,7.5,high,6.75,4,39,S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2.5,2.5,1,1,NA
60,7.5,high,6.75,5,40,S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,5,2,1,1,1.5
61,22.5,high,6.75,1,41,M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2.5,1.5,1,1.5,1.5
62,22.5,high,6.75,2,42,M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2,1.5,1,2,1
63,22.5,high,6.75,3,43,M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2.5,2,1,1,1.5
64,22.5,high,6.75,4,44,M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2.5,0.5,1,1,1.5
65,22.5,high,6.75,5,45,M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2,1,1,1.5,1.5
66,37.5,high,6.75,1,46,L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,2.5,1,0.5,1.5,1.5
67,37.5,high,6.75,2,47,L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,1.5,1.5,1,1.5,0.5
68,37.5,high,6.75,3,48,L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,2.5,1.5,1,1.5,1.5
69,37.5,high,6.75,4,49,L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,2,1.5,1,1.5,1.5
70,37.5,high,6.75,5,50,L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,2,2.5,1,1.5,1.5
71,7.5,high,6.75,1,51,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2,2,1.5,1,1
72,7.5,high,6.75,1,51,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,3,1.5,0.5,1.5,1
73,7.5,high,6.75,2,52,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2,1.5,1.5,1,1.5
74,7.5,high,6.75,2,52,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,3,1.5,0.5,1.5,1.5
75,7.5,high,6.75,3,53,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2,2,1.5,1,1.5
76,7.5,high,6.75,3,53,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,3,2,0.5,1.5,1.5
77,7.5,high,6.75,4,54,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2.5,1.5,1,1.5,1.5
78,7.5,high,6.75,4,54,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2.5,1.5,1,1,1.5
79,7.5,high,6.75,5,55,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2,1.5,1,1.5,1.5
80,7.5,high,6.75,5,55,S_S,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2.5,1,1,1.5,0.5
81,22.5,high,6.75,1,56,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,1.5,1.5,1,1.5,1.5
82,22.5,high,6.75,1,56,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2.5,1,1,1,1.5
83,22.5,high,6.75,2,57,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,1.5,1.5,1,1.5,1.5
84,22.5,high,6.75,2,57,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,1.5,2,1,1.5,1
85,22.5,high,6.75,3,58,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,3,1,1,2,1
86,22.5,high,6.75,3,58,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,1,2.5,1,1,2
87,22.5,high,6.75,4,59,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,1.5,1.5,1.5,1,1.5
88,22.5,high,6.75,4,59,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2.5,2,1.5,1,1.5
89,22.5,high,6.75,5,60,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,2,1.5,2,1,1.5
90,22.5,high,6.75,5,60,M_M,11,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,6,7,1.5,2,0.5,1.5,1.5
91,37.5,high,6.75,1,61,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2.5,2,1.5,1,1.5
92,37.5,high,6.75,1,61,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2.5,2,1,1.5,1.5
93,37.5,high,6.75,2,62,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2.5,1.5,1,1.5,1.5
94,37.5,high,6.75,2,62,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,3,1,1.5,1.5,1.5
95,37.5,high,6.75,3,63,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2.5,1.5,1,1,2
96,37.5,high,6.75,3,63,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2,1,1.5,1.5,1.5
97,37.5,high,6.75,4,64,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2,2,1,2,1
98,37.5,high,6.75,4,64,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2,1.5,1.5,1.5,1.5
99,37.5,high,6.75,5,65,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2.5,2,1,1.5,1.5
100,37.5,high,6.75,5,65,L_L,11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6,7,2,1,1,2,1.5
101,7.5,high,6.75,1,66,S_L,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2.5,1.5,1,1.5,1.5
102,37.5,high,6.75,1,66,S_L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,3,2,1,1.5,1
103,7.5,high,6.75,2,67,S_L,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2.2,2,1,1.5,1.5
104,37.5,high,6.75,2,67,S_L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,3,2,0.5,2,1.5
105,7.5,high,6.75,3,68,S_L,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2.5,2,1.5,1,1
106,37.5,high,6.75,3,68,S_L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,1.5,1.5,1,2,2.5
107,7.5,high,6.75,4,69,S_L,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2.5,2.5,0.5,1.5,1
108,37.5,high,6.75,4,69,S_L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,2,1.5,1,2,2
109,7.5,high,6.75,5,70,S_L,11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,6,7,2,2.5,1,1.5,1.5
110,37.5,high,6.75,5,70,S_L,11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,6,7,3,2,1.5,1.5,1.5
