"","file","date","time_point","culture_ID","comment","time","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"11","sample_00011","29.04.22","t4",11,NA,NA,1.216,0.0353488372093023,5137.098975,149.33427252907,77.7571003379727,39.1363056588128,34.5475817011206,11.8757789792178,311.084159726251,209.018792108625,167.845652173913,168.272210244818,0.600217391304348,0.019593023255814,0.0551744186046512,0.00715116279069767,0.000930232558139535,0.0522093023255814,0,0.0162790697674419,0.00412790697674419,0.00505813953488372,0.00726744186046512,0
"12","sample_00012","29.04.22","t4",12,NA,NA,2.27,0.0659883720930233,14665.311225,426.317186773256,83.2217306890164,65.5315163984596,34.7398552556677,14.3888687661379,217.082393320288,145.782946007682,102.433125,134.991470292492,0.716875,0.0212790697674419,0.0816860465116279,0.000988372093023256,0,0.0306395348837209,0,0.00331395348837209,0,0.0261046511627907,0.00715116279069767,0
"13","sample_00013","29.04.22","t4",13,NA,NA,1.74,0.0505813953488372,6301.414035,183.180640552326,85.456533502364,51.9121972084996,35.3029234049743,16.3976279769348,217.239281170986,156.03543068929,99.2375,120.95468557613,0.709,0.0387209302325581,0.0681395348837209,0,0.00319767441860465,0,0,0.0290116279069767,0.00767441860465116,0.0156976744186047,0,0
"14","sample_00014","29.04.22","t4",14,NA,NA,2.208,0.0641860465116279,12088.83933,351.419747965116,84.6654914284597,78.070732197599,30.6792187244776,14.4894917566629,289.192786690561,297.909130032076,216.505897435897,303.088091578027,0.525128205128205,0.0272093023255814,0.0623837209302326,0.00168604651162791,0.00296511627906977,0.0319767441860465,0,0.00255813953488372,0.00494186046511628,0.0072093023255814,0,0
"15","sample_00015","29.04.22","t4",15,NA,NA,0.21,0.0061046511627907,112.8492,3.2805,93.0845334091273,82.2472829268117,35.866629311019,19.3016552544828,224.437578909358,124.975260107216,97.6536,113.72094899286,0.7372,0.00895348837209302,0.0909883720930233,0,0.00412790697674419,0.0179651162790698,0.00726744186046512,0.00790697674418605,0.0027906976744186,0.0255813953488372,0.00726744186046512,0
"16","sample_00016","29.04.22","t4",16,NA,NA,2.178,0.0633139534883721,11513.144385,334.684429796512,93.3375104630634,45.3938931986573,36.2056734722147,14.3201429024277,331.116625291579,160.665680054557,141.425,123.844580249371,0.54625,0,0.0213953488372093,0.00406976744186047,0,0.0025,0,0.00744186046511628,0,0,0,0
"17","sample_00017","29.04.22","t4",17,NA,NA,1.42,0.0412790697674419,4186.016415,121.68652369186,67.1067973669712,21.8933743093318,28.9739050452685,7.58622259808589,259.769580288986,235.847829228517,183.14652173913,232.447589999214,0.769565217391304,0,0.0525581395348837,0.000988372093023256,0,0.00523255813953488,0,0.0047093023255814,0,0,0,0
"18","sample_00018","29.04.22","t4",18,NA,NA,1.234,0.0358720930232558,5644.198665,164.075542587209,63.866562253882,30.6071358661932,32.3161904522516,12.027619488932,274.927615381297,194.639693654318,153.438333333333,180.562129298108,0.751666666666667,0.00726744186046512,0.0086046511627907,0.00465116279069767,0.00122093023255814,0,0.00726744186046512,0,0,0,0,0
"19","sample_00019","29.04.22","t4",19,NA,NA,0.404,0.0117441860465116,3438.09522,99.9446284883721,95.3816274,6.63712823685627,40.5802464,6.94929845468978,289.343296296296,149.173403435722,203.94,162.024742554957,0.573333333333333,0.0125,0.00726744186046512,0,0,0,0,0,0,0,0,0
"20","sample_00020","29.04.22","t4",20,NA,NA,1.922,0.0558720930232558,4500.419535,130.826149273256,63.3620217135028,38.8127023848355,28.0472387317571,12.922215212183,307.304109333495,298.758068580431,203.466666666667,263.038521232881,0.830666666666667,0.0011046511627907,0.0234883720930233,0,0.00348837209302326,0,0,0.00598837209302326,0,0,0,0
"21","sample_00021","29.04.22","t4",21,NA,NA,1.798,0.0522674418604651,7415.11098,215.555551744186,75.5125845385151,36.8681123050752,32.2859563674675,10.8947714011258,401.338075454778,294.734147589143,285.474615384615,329.208372808049,0.423846153846154,0,0.0356976744186046,0.00558139534883721,0,0.0145348837209302,0,0.00313953488372093,0.000988372093023256,0,0,0
"22","sample_00022","29.04.22","t4",22,NA,NA,5.958,0.173197674418605,8546.55543,248.44637877907,55.9611433485758,25.3053437755274,26.8809181981058,9.21057052259571,292.613304322951,163.201348545607,161.254166666667,145.652594238254,0.493333333333333,0.0145348837209302,0.0162790697674419,0.00598837209302326,0,0.00726744186046512,0.0105813953488372,0,0,0,0,0
"23","sample_00023","29.04.22","t4",23,NA,NA,2.33,0.0677325581395349,3453.51357,100.392836337209,64.3971818921847,28.1589751076154,26.205872344904,7.84235779814063,256.185718368888,186.943970363053,213.664285714286,186.037464360581,0.52952380952381,0.00808139534883721,0.0480813953488372,0.00104651162790698,0.00104651162790698,0.00162790697674419,0,0.00401162790697674,0,0,0,0
"24","sample_00024","29.04.22","t4",24,NA,NA,4.296,0.124883720930233,5729.294835,166.549268459302,61.2018508670271,31.0265074732555,24.7425985602289,6.8133340389409,291.567523923846,130.146501704418,228.945625,153.866265827124,0.544375,0.0156976744186047,0.0178488372093023,0.0134883720930233,0,0,0,0,0,0,0,0
"25","sample_00025","29.04.22","t4",25,NA,NA,7.254,0.210872093023256,9310.944735,270.666998110465,80.9833679266896,12.9181682552228,34.6852102839312,6.35981075358805,170.372864357033,44.3184111728312,81.01,78.6285921278004,0.598571428571429,0,0.0316279069767442,0,0,0,0,0,0,0,0,0
"26","sample_00026","29.04.22","t4",26,NA,NA,8.834,0.256802325581395,12193.09362,354.450395930233,74.2479870301036,31.5851902542451,31.263393673272,9.77773805297912,207.507438730492,107.701739543226,132.239,123.303576811236,0.631,0.00854651162790698,0.0209302325581395,0,0,0,0.00412790697674419,0.00197674418604651,0,0,0,0
"27","sample_00027","29.04.22","t4",27,NA,NA,3.882,0.112848837209302,2946.93876,85.6668244186046,67.9843907992205,25.4974895655635,25.8206486899226,6.46604248846525,233.810514408064,144.837733500266,164.476206896552,156.98571619313,0.701724137931034,0.00377906976744186,0.0612790697674419,0,0,0.0125,0,0,0.0121511627906977,0,0,0
"28","sample_00028","29.04.22","t4",28,NA,NA,6.932,0.201511627906977,4575.411765,133.006155959302,75.8798049893254,36.3657874831818,32.7364749685519,10.5169826520343,214.708223334588,188.777832847889,106.569333333333,116.828920523706,0.7515,0.0197674418604651,0.14546511627907,0,0.00296511627906977,0.00505813953488372,0,0.00226744186046512,0.0131976744186047,0.00813953488372093,0,0
"29","sample_00029","29.04.22","t4",29,NA,NA,6.66,0.193604651162791,4881.384,141.900697674419,115.343743893319,37.088260418603,38.1362777642706,8.69193296654426,522.772820045721,381.388605179753,438.18380952381,404.27521993657,0.262380952380952,0.0556976744186047,0.0115116279069767,0,0,0.0227325581395349,0,0,0.0130232558139535,0,0.00726744186046512,0
"30","sample_00030","29.04.22","t4",30,NA,NA,5.028,0.146162790697674,3490.51761,101.468535174419,79.5789623748657,40.5085395840739,31.6171205029845,10.3705680516951,317.615672781273,212.7937889383,202.346307692308,209.588569609971,0.662615384615385,0.0127906976744186,0.131453488372093,0.0117441860465116,0.000755813953488372,0.0187790697674419,0,0.019593023255814,0.025406976744186,0.0022093023255814,0.0218023255813953,0
"31","sample_00031","29.04.22","t4",31,NA,NA,2.746,0.0798255813953488,742.83642,21.5940819767442,81.4900459296299,42.8113623606367,29.2585515100098,10.0758195470648,306.646552952554,217.552171738376,226.62625,232.501221637443,0.486875,0.0225581395348837,0.0449418604651163,0,0,0.0187790697674419,0,0.0072093023255814,0.00825581395348837,0.00122093023255814,0,0
"32","sample_00032","29.04.22","t4",32,NA,NA,4.514,0.131220930232558,1389.16053,40.3825735465116,93.9285907326999,45.9305030297992,38.0638104705275,15.5400390066041,324.545639200987,282.139728138102,196.584038461538,270.739687148184,0.569038461538461,0.0297674418604651,0.0912790697674419,0,0.00290697674418605,0.0401744186046512,0,0.0218023255813953,0.0203488372093023,0.00616279069767442,0.00726744186046512,0
"33","sample_00033","29.04.22","t4",33,NA,NA,4.046,0.117616279069767,1123.997715,32.6743521802326,87.4489407230835,78.7480819580904,29.5409003170743,11.285390648782,223.623658221892,114.999355325708,119.771176470588,88.3962664516338,0.682941176470588,0.011046511627907,0.13046511627907,0,0.00691860465116279,0.0106976744186047,0,0.00726744186046512,0.00331395348837209,0.012093023255814,0,0
"34","sample_00034","29.04.22","t4",34,NA,NA,6.568,0.19093023255814,14693.654745,427.14112630814,92.1752892902659,45.1370418056847,35.4591785913633,14.4174101064315,280.396251700532,211.631333726282,163.233529411765,217.964321950392,0.597058823529412,0.0330813953488372,0.127325581395349,0,0,0.0122093023255814,0,0.0284883720930233,0.0038953488372093,0.0149418604651163,0.00726744186046512,0
"35","sample_00035","29.04.22","t4",35,NA,NA,8.074,0.234709302325581,18448.974315,536.307392877907,79.6896930862227,33.7906033893729,28.0819978575812,9.296672489778,298.302639227236,199.514463811503,200.901034482759,166.225746100743,0.612068965517241,0.00802325581395349,0.0636046511627907,0,0,0.0161627906976744,0,0.00715116279069767,0.0159883720930233,0,0.00726744186046512,0
"36","sample_00036","29.04.22","t4",36,NA,NA,10.984,0.319302325581395,25886.327085,752.509508284884,81.1648167455153,43.2466764458918,30.4777748828337,11.3252383760436,292.737821821049,199.296383795966,206.834347826087,203.760281961723,0.557826086956522,0.0121511627906977,0.105813953488372,0.00377906976744186,0,0.0198255813953488,0.00261627906976744,0,0.0146511627906977,0,0.0218023255813953,0
"37","sample_00037","29.04.22","t4",37,NA,NA,6.656,0.193488372093023,15082.95168,438.457897674419,61.6310907983849,26.6793124652158,28.3815442561924,8.58554209944337,208.955829375475,141.915242744092,64.4797872340425,72.9501318200484,0.842978723404255,0.00906976744186047,0.0976162790697674,0,0,0.0272093023255814,0,0.014593023255814,0,0,0.0145348837209302,0
"38","sample_00038","29.04.22","t4",38,NA,NA,5.73,0.16656976744186,13742.0145,399.477165697674,90.9409333476089,50.9200314711997,38.5837271064448,20.9632644652556,261.614934947067,207.833095164232,150.066052631579,208.74105223794,0.69,0.027906976744186,0.0699418604651163,0,0,0.00784883720930233,0,0.0241860465116279,0.00726744186046512,0.0147674418604651,0.00261627906976744,0
"39","sample_00039","29.04.22","t4",39,NA,NA,5.582,0.162267441860465,4565.53746,132.719112209302,85.3698278752357,43.034240427104,32.2313701424189,9.78345717861001,336.610343270343,253.586337833575,232.2705,253.751426096283,0.41775,0.00726744186046512,0.0744186046511628,0.00296511627906977,0.00063953488372093,0.0456395348837209,0.00505813953488372,0.00226744186046512,0.0254651162790698,0.00180232558139535,0.0145348837209302,0
"40","sample_00040","29.04.22","t4",40,NA,NA,6.046,0.175755813953488,4908.87459,142.699842732558,75.1467666718129,46.6117253205454,33.0091060965066,14.3009480984013,247.563126212354,202.370982556883,111.028,163.478429741569,0.7785,0.0205232558139535,0.0700581395348837,0.000813953488372093,0.00290697674418605,0.0211627906976744,0,0.0206976744186047,0.00412790697674419,0.00726744186046512,0,0
"41","sample_00041","29.04.22","t4",41,NA,NA,6.658,0.193546511627907,4742.454825,137.862058866279,75.4011617252422,33.1386892945025,28.8029994613948,9.50828235315597,244.258920395073,162.976891207188,150.835476190476,130.524425136006,0.656904761904762,0.0145348837209302,0.0706395348837209,0.00802325581395349,0.00122093023255814,0.0313953488372093,0,0,0.00604651162790698,0,0.0143023255813953,0
"42","sample_00042","29.04.22","t4",42,NA,NA,5.704,0.165813953488372,4810.19715,139.8313125,73.811702678992,34.0868309582266,31.2114219507655,10.2609145335269,253.639329116455,195.120922449704,177.2,172.42913009891,0.482903225806452,0.0119186046511628,0.0873255813953488,0,0.00116279069767442,0.0165116279069767,0,0.00726744186046512,0.00441860465116279,0,0.00540697674418605,0
"43","sample_00043","29.04.22","t4",43,NA,NA,6.448,0.187441860465116,5230.199565,152.04068502907,78.4236102965359,40.0549899741858,25.5811092612692,7.31591898963051,342.142862039346,345.467039419787,279.9264,364.887073865326,0.5916,0.000988372093023256,0.0530813953488372,0.00104651162790698,0,0,0,0.0027906976744186,0.0159883720930233,0,0.00726744186046512,0
"44","sample_00044","29.04.22","t4",44,NA,NA,9.092,0.264302325581395,7286.416965,211.814446656977,73.1509115141708,40.6652051699555,28.0766328260556,10.7020509580207,301.927257486887,272.964097388537,226.6922,288.414378652363,0.6752,0.0292441860465116,0.073546511627907,0.00738372093023256,0.00116279069767442,0.0153488372093023,0.00726744186046512,0.00284883720930233,0.0146511627906977,0,0.0106395348837209,0
