"file","date","time_point","species","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00025","12.04.2022","training","Cep",NA,26.032,0.756744186046512,35263.4067,1025.09903197674,57.0345274642448,15.0840789509331,25.6155880659918,6.157727938419,175.919921557071,48.0697111139411,114.348653846154,70.1705249005521,0.630576923076923
"sample_00026","12.04.2022","training","Cep",NA,32.16,0.934883720930233,45896.8194,1334.20986627907,60.5885645526986,15.0903976894181,26.216108655095,5.66957271679708,173.457540813213,46.0199486833825,119.178888888889,59.7509992927939,0.584126984126984
"sample_00027","12.04.2022","training","Col",NA,11.824,0.343720930232558,9110.47338,264.839342441861,37.3878167201086,9.35659216932653,20.8791498739963,4.40514676277298,475.122857675632,158.264042059274,369.389166666667,220.625563931619,0.30625
"sample_00028","12.04.2022","training","Col",NA,21.464,0.623953488372093,14639.5593,425.568584302326,37.9414288860636,9.62818097064056,19.8571674630509,3.68789537857495,564.206823409684,118.771420559774,509.787777777778,157.674781719855,0.165777777777778
"sample_00029","12.04.2022","training","Col",NA,22.256,0.646976744186047,17144.68032,498.391869767442,41.0414845563843,11.3900677205331,20.1689305467768,4.80240144268456,536.931213892227,112.82757264179,487.953409090909,156.988905635905,0.174318181818182
"sample_00030","12.04.2022","training","Col",NA,13.016,0.378372093023256,8984.50218,261.177388953488,38.0678679478647,12.7919991232069,19.3746146236955,4.28741872935263,475.200170317003,156.556500367896,406.07935483871,182.590549754279,0.270967741935484
"sample_00031","12.04.2022","training","Eug",NA,8.392,0.243953488372093,2379.54348,69.1727755813953,26.309181337867,3.87033263078537,12.8966011061772,1.58116699109485,97.115007655302,23.4159090605968,54.0975,29.0050672584407,0.588125
"sample_00032","12.04.2022","training","Eug",NA,15.04,0.437209302325581,4820.89158,140.142197093023,26.5372910142543,4.19752009561522,13.8940043991817,1.71668102204136,94.9988110454801,13.8702048080895,51.7736,25.9938867620831,0.6444
"sample_00033","12.04.2022","training","Eug",NA,13.36,0.388372093023256,3805.51122,110.625326162791,25.2696681669004,3.05412032590365,13.8789782060327,1.66760243177319,95.2560524318929,18.702016552479,55.3026923076923,26.6597807279343,0.596153846153846
"sample_00034","12.04.2022","training","Eup",NA,25.536,0.742325581395349,57273.5934,1664.93004069767,65.4893240618929,8.2122479093679,42.7769048358432,6.05004147548067,572.680976077112,198.032195449225,299.75447368421,236.810699227536,0.407368421052632
"sample_00035","12.04.2022","training","Eup",NA,30.984,0.900697674418605,71338.93398,2073.80622034884,69.9800677140269,13.4906754112888,40.8093608071914,6.44296018072855,548.924820816193,232.78429954035,280.5612,217.394891474816,0.5484
"sample_00036","12.04.2022","training","Eup",NA,41.888,1.21767441860465,99399.8061,2889.52924709302,69.5576799960374,17.4757973400743,40.4647309052134,9.00210090585268,530.864505889997,220.878036149742,249.25564516129,221.281916905962,0.601935483870968
"sample_00037","12.04.2022","training","Eup",NA,25.856,0.751627906976744,59172.60924,1720.13398953488,66.7637219877822,11.0646235323299,40.4837651813485,6.71271433137865,702.657348118804,191.954974906752,307.66025,212.219309864638,0.4035
"sample_00038","12.04.2022","training","Eup",NA,22.208,0.645581395348837,53530.5429,1556.12043313953,68.3156415198453,9.70093552217016,41.9751004526799,6.44982917443646,711.953542832036,193.528923084048,360.533636363636,216.290347230554,0.407878787878788
"sample_00039","12.04.2022","training","Lox",NA,22.328,0.649069767441861,18262.14984,530.876448837209,40.3680081230227,4.55956908189412,26.1159434928399,3.23808903070274,263.78982384457,78.284412136809,120.538,85.856760848132,0.4172
"sample_00040","12.04.2022","training","Lox",NA,24.184,0.703023255813954,19635.49836,570.799370930232,39.5976754908373,7.01837652800206,25.5078282966787,4.49740098495249,248.608363074109,79.2394293919189,123.091538461538,89.9553461087136,0.388076923076923
"sample_00041","12.04.2022","training","Lox",NA,25.984,0.755348837209302,18577.20906,540.035147093023,36.6551984875322,6.04607979910406,23.2867532951345,3.18970916614089,234.472210942226,92.3017326232257,92.6023529411765,56.7957280221728,0.424117647058824
"sample_00042","12.04.2022","training","Lox",NA,22.352,0.649767441860465,18903.94686,549.533338953488,40.1046365176624,4.34401775864344,26.3005964701066,4.06709951525533,221.564266468514,78.3296397926872,76.2641666666667,69.1012651313536,0.367083333333333
"sample_00043","12.04.2022","training","Lox",NA,25.504,0.741395348837209,20808.8676,604.908941860465,39.2702543296874,5.67845917037164,25.6782220532401,3.52536674886975,230.043880538788,115.855696431337,94.6540740740741,103.075026866515,0.410740740740741
"sample_00044","12.04.2022","training","Lox",NA,36.224,1.05302325581395,29012.61078,843.389848255814,38.9663548613423,6.82268134065628,24.5930193813015,4.46589007761195,325.833691770346,87.2731237377268,135.202682926829,93.558142404186,0.424390243902439
"sample_00045","12.04.2022","training","Pau",NA,21.464,0.623953488372093,54301.19796,1578.52319651163,94.8699836748767,21.1626163012681,34.6092118066987,7.09416698207523,907.414301661987,309.668401612968,785.319714285714,382.587911915724,0.344571428571429
"sample_00046","12.04.2022","training","Pau",NA,21.152,0.614883720930233,67430.15262,1960.17885523256,98.7574795377559,14.4784797378817,38.9722533982863,5.91722862189784,846.189352893558,297.724496687012,691.168918918919,393.15127771765,0.324864864864865
"sample_00047","12.04.2022","training","Pau",NA,8.464,0.246046511627907,18725.22522,544.33794244186,87.8054006654341,25.5049998703052,35.6753834557832,6.8369008065273,1067.78198909419,265.182992632271,980.15,373.585115201342,0.193076923076923
"sample_00048","12.04.2022","training","Pau",NA,17.704,0.514651162790698,48283.0551,1403.57718313954,97.0420968254487,12.8509995757398,35.2214199124811,4.97890566711109,1044.77895130267,312.787964654027,953.444827586207,407.11847327652,0.191724137931034
"sample_00049","12.04.2022","training","Pau",NA,27.856,0.809767441860465,75861.69372,2205.28179418605,92.9871319695607,15.0512284199134,36.6338661148052,5.27460290103887,682.390780443185,294.505838875899,506.25175,388.99815090779,0.428
"sample_00050","12.04.2022","training","Pau",NA,14.176,0.412093023255814,41730.19074,1213.08694011628,99.3479544482547,13.0308864485872,35.2555770512718,7.3549008954049,667.932287587975,263.663390033118,462.633157894737,350.467986476696,0.354736842105263
"sample_00051","12.04.2022","training","Pau",NA,10.32,0.3,33683.91156,979.183475581395,104.894148404604,12.6166814909333,39.4007930955945,5.87485804886362,962.14587418846,272.524224804222,822.804666666667,396.069865353264,0.28
"sample_00052","12.04.2022","training","Pau",NA,10.896,0.316744186046512,32259.7809,937.784328488372,101.819151608856,13.8030011072447,37.0723983839237,6.15817848010745,1076.6589323157,244.797108805295,1010.70476190476,303.472081477342,0.194761904761905
"sample_00053","12.04.2022","training","Pca",NA,12.896,0.374883720930233,40249.24182,1170.0360994186,119.49692619065,19.5082582566712,32.4658793178194,5.71301882991489,654.443973652362,254.33133595468,511.425217391304,325.037342510191,0.418695652173913
"sample_00054","12.04.2022","training","Pca",NA,10.616,0.308604651162791,28214.9244,820.201290697674,106.092580888482,22.527397768068,31.3762588815328,4.99611046681619,766.635464089602,275.788284785937,608.242631578947,382.593716636012,0.421578947368421
"sample_00055","12.04.2022","training","Pca",NA,4.304,0.125116279069767,11447.6328,332.780023255814,105.601597453121,14.0623598819158,31.1145463563891,5.16160624453819,824.699821416539,354.88425664994,693.74,436.132148191021,0.37
"sample_00056","12.04.2022","training","Pca",NA,4.408,0.128139534883721,14917.22082,433.640140116279,124.960018823413,14.3953572265363,34.9966602220717,4.77072278361676,914.979379481642,395.005221347548,744.042222222222,512.967092140855,0.312222222222222
"sample_00057","12.04.2022","training","Pca",NA,7.616,0.221395348837209,19790.20674,575.296707558139,98.143712534241,29.281803872924,30.2493979504152,5.83210339379183,872.473220342995,313.135806207816,721.015714285714,364.212629458594,0.427142857142857
"sample_00058","12.04.2022","training","Pca",NA,2.968,0.0862790697674419,7255.54746,210.917077325581,109.563647057011,24.9192222742461,28.8840974890524,3.82763267194744,921.218622509263,222.462175787977,803.996666666667,289.352192880925,0.27
"sample_00059","12.04.2022","training","Pca",NA,6.568,0.19093023255814,14219.52408,413.358258139535,91.3363309357201,25.4368410604702,28.3174333337652,5.87046106329574,881.427692896819,383.966972152968,667.515,475.047030640125,0.3975
"sample_00060","12.04.2022","training","Spi",NA,1.664,0.0483720930232558,14275.16136,414.975620930233,131.401567648193,53.9311665033325,71.8049570963855,16.8396191642137,154.317674698795,84.4714361259207,97.505,93.8967094737616,0.195
"sample_00061","12.04.2022","training","Spi",NA,3.12,0.0906976744186047,89199.81306,2593.01782151163,256.3532982,276.734480546894,88.38408375,44.7732748256274,250.386166666667,178.792149028169,179.9425,181.875992070605,0.345
"sample_00062","12.04.2022","training","Spi",NA,1.976,0.0574418604651163,53119.03698,1544.15805174419,359.89816107541,312.891834742879,87.8526860459016,15.0592044050686,298.25206557377,74.0057029836685,175.28,208.384368415676,0.15
"sample_00063","12.04.2022","training","Spi",NA,3,0.0872093023255814,74649.7458,2170.05075,318.523511598999,62.2286081655261,102.637184845258,16.5995760349172,219.215084647196,102.682723458813,126.55,40.2259360777762,0.335
"sample_00064","12.04.2022","training","Spi",NA,3,0.0872093023255814,62844.93216,1826.8875627907,226.046373710549,43.7997937213509,106.826439348529,18.1264068592316,132.925634191176,20.9494962075158,82.0675,39.2441158009707,0.4775
"sample_00065","12.04.2022","training","Spi",NA,1.784,0.0518604651162791,79955.10162,2324.27620988372,516.316835685484,146.138290956461,92.5147034274193,15.6284192317443,338.91237345679,50.8798654865631,317.31,21.3179243830163,0.126666666666667
"sample_00066","12.04.2022","training","Spi",NA,3,0.0872093023255814,117866.3967,3426.34874127907,437.8628016,352.632484732625,125.4317292,21.6712669828824,267.418,177.431774595195,61.0066666666667,42.2409213125535,0.31
"sample_00067","12.04.2022","training","Spi",NA,2,0.0581395348837209,68267.8611,1984.53084593023,364.4893404,171.893983248244,114.174603,23.7954434148766,217.059,128.355437134544,172.385,171.918871709885,0.17
"sample_00068","12.04.2022","training","Spi",NA,0.984,0.0286046511627907,40780.02672,1185.46589302326,543.17385,NA,80.4049134146342,NA,360.036,NA,295.26,NA,0.63
"sample_00069","12.04.2022","training","Spi",NA,2.888,0.083953488372093,80431.56144,2338.12678604651,328.810078957366,230.21213463171,83.1710338322139,38.0957539028944,256.152742227985,100.877532202096,140.234444444444,122.603595696773,0.544444444444444
"sample_00070","12.04.2022","training","Spi",NA,3.944,0.114651162790698,59303.96046,1723.95233895349,178.325422837321,124.444485245083,81.0622683973149,47.2521818073001,175.871059867032,87.3869813885578,85.5514285714286,73.64104730121,0.677142857142857
"sample_00071","12.04.2022","training","Spi",NA,1,0.0290697674418605,23983.99794,697.209242441861,235.6430292,NA,131.1274332,NA,195.802,NA,116.73,NA,0.52
"sample_00072","12.04.2022","training","Spi",NA,5.12,0.148837209302326,115783.80408,3365.80825813954,275.470277547972,82.9924489169082,104.694450394489,22.5894555180022,208.756980589295,53.7936956632132,81.9355555555556,56.53487289079,0.511111111111111
"sample_00073","12.04.2022","training","Spi",NA,5.272,0.153255813953488,107920.31436,3137.21844069767,240.15490607135,110.816242650211,94.6735445095487,39.073668624128,183.262510611735,93.1401416693713,87.715,39.1750638799734,0.503333333333333
"sample_00074","12.04.2022","training","Spi",NA,4.688,0.136279069767442,76458.08862,2222.61885523256,180.398420241565,60.1416681008022,96.902614688676,32.9589510432897,196.760446902983,78.2554449497522,56.5871428571429,23.203910384736,0.547142857142857
"sample_00075","12.04.2022","training","Spi",NA,3.512,0.102093023255814,120547.09008,3504.2758744186,345.860856365625,262.505557026947,117.508692346875,21.6734651083629,425.2221484375,216.069968601909,260.93,141.85466388761,0.16
"sample_00076","12.04.2022","training","Spi_te",NA,4,0.116279069767442,19967.61618,580.45395872093,186.888399314035,50.8754135379031,36.7960021491769,14.0575312059112,530.438744373847,439.911962852186,479.862,475.031106423569,0.266
"sample_00077","12.04.2022","training","Spi_te",NA,5.328,0.154883720930233,29814.36498,866.696656395349,169.926134956762,73.4244524816002,40.4168527771302,6.92764557624585,567.870990737966,287.076006599658,480.407777777778,354.211007161613,0.216666666666667
"sample_00078","12.04.2022","training","Spi_te",NA,2.264,0.0658139534883721,9978.75612,290.080119767442,182.451830688732,96.6792275169632,32.1427863780876,7.85832887338981,460.917264118966,376.891914168019,410.846666666667,411.83513720096,0.266666666666667
"sample_00079","12.04.2022","training","Spi_te",NA,5.496,0.159767441860465,22959.30096,667.421539534884,141.638533989105,39.6164630234991,38.1980903849973,7.39826404860294,397.845341619438,279.499810187225,172.61875,121.6457561279,0.2775
"sample_00080","12.04.2022","training","Spi_te",NA,3.888,0.113023255813953,18969.8193,551.448235465116,185.92433622973,64.1064587446577,35.1657833837838,6.60177790405034,437.198486486486,242.787377643931,310.17,318.12981469834,0.24
"sample_00081","12.04.2022","training","Spi_te",NA,3.888,0.113023255813953,26683.32456,775.678039534884,228.986859008688,51.8165727993691,37.6445239037104,3.9900352122275,674.617751131222,213.901786441482,583.886,212.74233295233,0.144
"sample_00082","12.04.2022","training","Spi_te",NA,4.808,0.139767441860465,19454.28354,565.531498255814,150.67437895613,56.6916966895981,34.4502106372041,6.80929931527384,463.428935898846,301.24295621861,375.346,294.99893860826,0.254
"sample_00083","12.04.2022","training","Spi_te",NA,2.224,0.0646511627906977,10669.23576,310.152202325581,166.060277357143,88.1448657811591,39.8222676,7.56105467257691,533.351952380952,339.394021311944,453.856666666667,340.980984269407,0.276666666666667
"sample_00084","12.04.2022","training","Spi_te",NA,3.768,0.10953488372093,15415.59438,448.127743604651,178.585227850018,30.1726664608011,30.6731511859165,4.38165133293966,568.789008348457,296.713505445092,521.106,336.899976595428,0.186
