"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment","time","replicate"
"sample_00004",49.8495744680851,16.8784324132317,2656.8560106383,1265.8395351117,212.288677659574,61.9885804388834,84.4633531914894,27.8947398552682,38.0007191489362,12.4833031333926,2.49717021276596,1.22685466201263,0.01,0.26,1.88,47,344.19,344,183.08,369.82,196.71,17.34,2.01,4.68,116.95,433.42,50.22,"sample_00004-25","07.05.22","t6",4,NA,NA,1
"sample_00005",39.824328,1.28984862687761,3469.98168,72.1450206906983,221.0655888,8.61620303983745,77.723388,2.34302023804815,56.8860408,1.8053213420552,1.36868,0.0817527349843377,-0.07,0.3,5,125,740.86,741,148.17,3114.61,622.92,36.15,7.65,6.26,156.52,903.81,191.32,"sample_00005-9","07.05.22","t6",5,NA,NA,1
"sample_00006",58.900272,4.13589907411022,6630.80904,1018.20427043969,357.9509556,42.9482956580859,146.3788908,21.2662836619865,57.7102644,4.21300692947628,2.552224,0.440932147951104,0.06,0.51,5,125,257.43,204,40.85,567.7,113.54,30.35,0.62,3.68,91.98,758.77,15.54,"sample_00006-1","07.05.22","t6",6,NA,NA,1
"sample_00006",59.443592,11.5325635121962,4165.18524,820.454951927024,260.6070348,38.0645060863788,102.6421956,20.4651032109836,51.9174684,4.38349530773847,2.000824,0.466964028869531,-0.01,0.35,5,125,588.84,589,117.77,650.29,130.06,10.25,0.57,2.16,54.04,256.2,14.28,"sample_00006-12","07.05.22","t6",6,NA,NA,1
"sample_00006",89.4946285714285,47.1673747477351,625.169571428572,550.009435970021,128.482315714286,89.5983992700654,34.5234728571429,15.0774081367345,19.6639071428571,10.8304710998994,1.90742857142857,0.737838547847072,3.11,1.25,1.52,35,48.79,38,24.7,308.26,202.8,44.84,0.6,13.07,230.66,1071.27,15.09,"sample_00006-18","07.05.22","t6",6,NA,NA,1
"sample_00006",38.41224,4.92949409561566,4081.07322,230.424440057666,293.6336508,17.6834676313337,124.7285304,8.93149677047943,41.772672,2.4106379709847,3.003688,0.347586851898778,0,0.15,5,125,761.26,761,152.25,861.09,172.22,12.36,3.27,1.67,41.79,308.98,81.83,"sample_00006-2","07.05.22","t6",6,NA,NA,1
"sample_00006",36.202472,3.45384199485433,6608.10798,1534.63855992141,370.8293724,46.6789344957993,148.9120524,21.6058165287047,55.606176,8.4421983491598,2.702392,0.395782440563076,-0.07,0.42,5,125,368.76,369,73.75,747.87,149.57,46.3,1.94,4.93,123.36,1157.61,48.59,"sample_00006-21","07.05.22","t6",6,NA,NA,1
"sample_00006",132.976725490196,17.4260167199259,2648.52132352941,1504.84281179359,439.108464705882,187.840484549441,75.2873558823529,27.95301416889,40.7561029411765,13.173539398823,1.87670588235294,0.4350041054573,-3.07,1.16,2.08,51,36.35,35,16.7,538.09,258.7,22.98,0.37,7.98,200.57,574.48,9.16,"sample_00006-23","07.05.22","t6",6,NA,NA,1
"sample_00006",57.532462962963,2.26967719894272,4116.42,249.844755332532,243.3367875,6.92313782011555,89.814675,3.00639420861494,58.3382625,2.72346330027591,1.54275,0.0875943416642239,0.08,0.49,4.32,108,661.76,654,151.43,2000.25,463.02,32.23,2.33,6.32,158.06,805.83,58.25,"sample_00006-31","07.05.22","t6",6,NA,NA,1
"sample_00006",50.4377142857143,3.10764128801894,1345.33974489796,592.541398392921,161.591197959184,56.5910285806462,57.5771142857143,19.3432212344209,29.0422193877551,5.83051069871185,2.0164693877551,0.644867819209255,0.22,1.21,2,49,70.92,71,35.46,222.25,111.12,25.77,0.12,5.15,128.92,644.2,2.94,"sample_00006-4","07.05.22","t6",6,NA,NA,1
"sample_00006",45.9212315789474,1.91321897320137,4025.34615789474,500.429236913493,241.039672105263,17.5618672426176,86.5265447368421,5.18423634264054,58.9422078947368,5.84928770984269,1.48713684210526,0.210387110808093,0.01,0.17,3.8,95,2478.81,2479,652.32,2568.4,675.89,36.73,5.31,5.97,149.16,918.23,132.63,"sample_00006-50","07.05.22","t6",6,NA,NA,1
"sample_00006",49.212875,4.6822383491588,3024.621,824.54429165542,207.764595,35.627509270369,78.2024625,14.3147011097823,47.88183375,9.15108877333651,1.682125,0.360276829994338,0.11,0.23,1.6,40,312.84,267,167.11,674.91,421.82,26.6,4.64,6.04,151.06,665.12,116,"sample_00006-60","07.05.22","t6",6,NA,NA,1
"sample_00006",95.6663548387097,25.9775277596469,2771.49338709677,2775.33493838863,213.969208064516,151.332943069016,79.4949677419355,54.8918285505435,32.0975564516129,19.175289446441,2.42954838709677,0.706276425521419,0.14,1.28,1.44,31,179.48,179,124.22,288.11,200.08,34.58,0.95,6.92,178.56,864.46,11.92,"sample_00006-7","07.05.22","t6",6,NA,NA,1
"sample_00006",52.7932380952381,5.46992300681288,1318.70892857143,473.620403699361,150.283992857143,51.6668816389729,53.7647142857143,16.727071249883,30.7826357142857,4.40522596792745,1.75936507936508,0.55348605780113,0.03,1.19,2.6,63,88.99,63,24.16,288.37,110.91,27.32,0.13,5.32,112.04,531.13,3.37,"sample_00006-73","07.05.22","t6",6,NA,NA,1
"sample_00006",58.8227521367521,6.36857782113843,4828.92403846154,606.231223807521,268.9677,19.2657389398443,100.590542307692,8.61788281228246,61.1570076923077,8.1589412585572,1.67710256410256,0.288440019002798,-0.05,0.25,4.68,117,988.31,771,164.64,3528.7,754,46.02,2.14,8.79,219.81,1150.56,53.57,"sample_00006-9","07.05.22","t6",6,NA,NA,1
"sample_00006",47.3699756097561,4.6947046951209,4590.29963414634,781.390731506284,290.541567073171,37.5253693666708,122.79017195122,18.6152643013437,47.2205304878049,3.96014695950286,2.59056097560976,0.340088227433742,-0.07,0.33,1.64,41,1446.78,1410,859.59,1535.32,936.17,55.01,2.92,12.48,311.9,1375.23,73.1,"sample_00006-96","07.05.22","t6",6,NA,NA,1
"sample_00007",49.2352962962963,13.3734117872706,4597.56,2285.54948674968,319.0398,117.060112782375,123.55605,48.7535595140321,45.30165,6.79007130968276,2.65822222222222,0.834523877767498,0.16,0.56,1.08,27,134.57,135,124.6,209.44,193.93,37.75,2.95,6.42,160.64,943.87,73.72,"sample_00007-106","07.05.22","t6",7,NA,NA,1
"sample_00007",65.381568,12.4448915392933,3836.61036,445.468311382005,271.303992,36.0356019909581,108.3225636,19.9143327622681,45.8670276,4.66306609702025,2.422816,0.632255899397214,-0.01,0.49,5,125,459.09,452,90.43,864.05,172.81,13.8,0.32,2.8,69.98,344.97,7.96,"sample_00007-18","07.05.22","t6",7,NA,NA,1
"sample_00007",38.420336,3.49508579419364,3377.6028,166.956544053772,236.3954868,9.00074323181179,96.4512036,4.70659762876752,44.663076,2.61181714380725,2.170064,0.198485830484762,-0.01,0.38,5,125,2329.2,2329,465.84,3141.29,628.26,55.44,3.96,10.12,253.1,1386.07,98.94,"sample_00007-29","07.05.22","t6",7,NA,NA,1
"sample_00007",48.7612894736842,5.75748784326043,518.83697368421,143.522624959939,108.100361842105,29.900939637799,39.5107342105263,7.2518788965819,16.6480578947368,3.49542191577216,2.45573684210526,0.60441321484697,-2.71,1.33,1.52,38,36.59,35,22.89,195.99,128.94,14.32,0.43,4.64,115.96,358.09,10.72,"sample_00007-30","07.05.22","t6",7,NA,NA,1
"sample_00007",55.136144,1.65289501015057,7817.30028,936.436041725575,409.40154,32.8325655999503,179.6158476,3.22930926902867,55.4134284,6.54539813865293,3.271448,0.267807148233876,0.01,0.37,5,125,1923.3,1923,384.66,2814.47,562.89,48.18,5.38,7.28,182,1204.62,134.44,"sample_00007-32","07.05.22","t6",7,NA,NA,1
"sample_00007",50.593488,14.1422213713542,3095.4798,742.761694208803,230.43852,41.2705590680137,90.5170788,21.9752699319932,43.8088176,4.61422738416219,2.101976,0.596532310781614,0.03,0.61,5,125,331.7,332,66.34,448.85,89.77,15.78,0.21,2.31,57.69,394.56,5.23,"sample_00007-33","07.05.22","t6",7,NA,NA,1
"sample_00007",48.657008,6.50093059528974,3837.13524,365.709094682523,248.4517212,18.6747729597809,95.90886,13.4973109088709,51.3771012,4.2177637897382,1.895176,0.39529996907208,-0.06,0.31,5,125,254.75,199,39.87,462.82,92.56,12.07,1.16,1.53,38.37,301.77,28.88,"sample_00007-34","07.05.22","t6",7,NA,NA,1
"sample_00007",62.69445,7.49831160123603,3572.4645,1848.21855797435,280.100835,128.58478764461,106.8428475,49.2925248677909,40.24819125,7.3709870983879,2.561375,0.976424972828995,0.21,0.67,1.6,40,68.11,68,42.57,219.96,137.48,41.95,0.97,6.42,160.36,1048.63,24.26,"sample_00007-35","07.05.22","t6",7,NA,NA,1
"sample_00007",42.7294,2.24461669333541,3134.42126470588,377.644640872482,210.967644705882,17.6707182119295,76.9355629411765,4.98936097536043,51.6217288235294,5.15920462641528,1.51324705882353,0.245522276454285,0.02,0.41,3.4,85,1174.87,1118,328.82,1780.19,523.59,34.28,4.17,6.68,167.1,856.89,104.32,"sample_00007-36","07.05.22","t6",7,NA,NA,1
