"","file","date","time_point","culture_ID","comment","time","replicate","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"11","sample_00011","07.05.22","t6",11,NA,NA,1,4.648,0.135116279069767,20177.83062,586.564843604651,81.1161351781896,31.8416676644266,33.215145143272,9.76449811072851,276.442353466887,164.724630585446,194.3484375,166.487641430506,0.5240625,0,0,0,0,0,0,0,0,0,0,0
"12","sample_00012","07.05.22","t6",12,NA,NA,1,8.36,0.243023255813953,56795.69016,1651.03750465116,80.1620196296458,38.5677902851727,35.7295106254033,12.4012226599239,221.124541117,207.744670277199,122.025666666667,185.287443415552,0.711333333333333,0,0,0,0,0,0,0,0,0,0,0
"13","sample_00013","07.05.22","t6",13,NA,NA,1,6.48,0.188372093023256,25096.74354,729.556498255814,83.0019836276169,41.0264096348736,29.6599898616669,10.5952564940843,241.152616818274,119.334650189433,181.401,132.30133218893,0.579,0,0,0,0,0,0,0,0,0,0,0
"14","sample_00014","07.05.22","t6",14,NA,NA,1,8.424,0.244883720930233,48260.0916,1402.90963953488,77.7432062135653,27.0350525320141,33.5111724717259,7.63722141813304,243.743843945262,164.637186812093,99.9764285714286,97.5857751777018,0.590714285714286,0,0,0,0,0,0,0,0,0,0,0
"15","sample_00015","07.05.22","t6",15,NA,NA,1,0.672,0.0195348837209302,369.51552,10.7417302325581,90.682682488906,68.0979114789731,35.113411313877,15.6280469503639,283.393434640417,183.397402358022,143.3115625,151.018272000858,0.609375,0,0,0,0,0,0,0,0,0,0,0
"16","sample_00016","07.05.22","t6",16,NA,NA,1,8.024,0.233255813953488,45874.77444,1333.5690244186,91.2390308240964,39.4228803835529,31.0208735710843,10.0591048616173,281.641180722892,227.984829920372,108.706666666667,72.1698097083076,0.643333333333333,0,0,0,0,0,0,0,0,0,0,0
"17","sample_00017","07.05.22","t6",17,NA,NA,1,5.216,0.151627906976744,16358.67252,475.542805813954,98.2682296654057,53.5560830502243,36.6420242589461,14.2774973750468,362.257847754137,141.649224965148,193.03,47.2116712265092,0.386,0,0,0,0,0,0,0,0,0,0,0
"18","sample_00018","07.05.22","t6",18,NA,NA,1,4.392,0.127674418604651,22273.54524,647.486780232558,47.6907162900744,26.9747613353026,21.5477746336228,9.85972626498127,406.510966981132,168.071812227395,322.2825,169.261325445793,0.375,0,0,0,0,0,0,0,0,0,0,0
"19","sample_00019","07.05.22","t6",19,NA,NA,1,1.616,0.0469767441860465,13752.38088,399.778513953488,47.611091900634,15.1318974723415,23.1168070031112,5.52934582074617,361.731656172476,316.062304276416,220.21,198.291608159969,0.704285714285714,0,0,0,0,0,0,0,0,0,0,0
"20","sample_00020","07.05.22","t6",20,NA,NA,1,7.392,0.214883720930233,17931.73788,521.27145,89.0699292487685,12.444750091403,34.9207259852217,3.96413797313738,545.696531198686,237.048985318059,409.235,413.749390875685,0.245,0,0,0,0,0,0,0,0,0,0,0
