"file","date","time","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00022","21.04.22",14,"t2",22,NA,21.416,0.622558139534884,69478.62804,2019.72755930233,85.3132621581396,39.1630779987757,37.4619590740337,14.8426818902897,216.308821202944,143.519966913387,141.766551724138,142.454686561724,0.476896551724138
"sample_00023","21.04.22",14,"t2",23,NA,31.552,0.917209302325581,118808.03142,3453.72184360465,96.4495706240534,68.3878417549926,36.7793298884269,16.0768933216875,299.236825100924,202.08042449193,235.510227272727,228.995552810363,0.485
"sample_00024","21.04.22",14,"t2",24,NA,34.664,1.00767441860465,122131.7028,3550.34019767442,99.4593300215389,43.9374951802499,39.1486169941589,15.1778451638856,277.484910941896,133.922070407231,184.019130434783,151.53619045299,0.540434782608696
"sample_00025","21.04.22",14,"t2",25,NA,22.92,0.666279069767442,89128.29816,2590.9389,95.714110939793,43.550754957395,41.4937581856445,14.5865020357488,263.665192909142,211.898293326791,173.094,218.455238697731,0.375333333333333
"sample_00026","21.04.22",14,"t2",26,NA,34.112,0.991627906976744,109569.61854,3185.16332965116,88.5427258078242,39.5201093782793,40.2649420123871,13.8707820003682,198.104260569228,148.441656263619,104.484772727273,144.976486152605,0.683181818181818
"sample_00027","21.04.22",14,"t2",27,NA,36.688,1.06651162790698,158858.60616,4617.9827372093,90.0394987102299,65.2814131018292,40.8086748156576,22.7619425427967,226.480476857738,162.377189871704,141.280212765957,153.963699878863,0.546382978723404
"sample_00028","21.04.22",14,"t2",28,NA,28.68,0.833720930232558,89461.99062,2600.6392622093,75.4446875493908,45.5377198384757,37.4909272927981,15.8784483232783,249.778876922379,174.10183875283,150.707111111111,161.608268966296,0.553777777777778
"sample_00029","21.04.22",14,"t2",29,NA,37.36,1.08604651162791,156043.28106,4536.14189127907,98.8751763477986,45.0933093878859,44.931553692891,17.270168230738,261.01490417004,166.013059062136,150.575636363636,146.271367312338,0.582363636363636
"sample_00030","21.04.22",14,"t2",30,NA,40.408,1.1746511627907,149288.86278,4339.79252267442,91.5598866460082,54.2418913049316,41.4219849944115,17.1331187119669,379.631304432188,254.801162503945,236.204137931034,261.70964570734,0.468103448275862
"sample_00031","21.04.22",14,"t2",31,NA,30.664,0.891395348837209,114822.88002,3337.87441918605,100.965811345408,40.2995557537931,42.7285835927652,12.0970540917981,260.107421672294,167.557389667326,178.43275,129.524284427076,0.45625
