"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","species","comment"
"sample_00003",44.1321891891892,0.595882298120369,546.158918918919,248.451552261941,105.124427027027,36.1212100481251,38.9637364864865,14.6207944931784,17.4117162162162,2.48922242873748,2.23078378378378,0.738513527113573,0,0.62,1.48,37,669.55,651,439.72,725.28,490.05,57.57,10.05,7.25,181.35,1439.23,251.24,"sample_00003-12","12.04.2022","training","Ble",NA
"sample_00003",111.82823255814,11.7366327872488,6350.81912790698,2243.7141619859,321.125441860465,63.6513994991833,121.531458139535,19.6602968637482,63.6515895348837,18.8463415854964,2.13688372093023,0.833463462486575,-0.02,0.13,1.72,43,341.19,341,198.36,349.3,203.08,17.4,2.14,3.94,98.56,435.09,53.54,"sample_00003-164","12.04.2022","training","Ble",NA
"sample_00003",47.7892564102564,1.96978280552569,1833.71538461538,404.940198441687,210.295523076923,37.6563398416432,87.5026384615385,15.521058709038,26.4900115384615,2.83969574297887,3.30969230769231,0.570392531223993,0,0.34,1.56,39,656.38,656,420.76,742.35,475.87,36.14,12.44,4.36,109.09,903.45,310.91,"sample_00003-172","12.04.2022","training","Ble",NA
"sample_00003",106.934544,2.78672026995315,8324.33436,114.431809182203,393.6137976,8.76551046038985,156.6286956,4.36995380360084,67.7058588,1.52264116959093,2.315768,0.110968255850273,-0.01,0.1,5,125,1016.34,1016,203.27,1119.91,223.98,14.17,5.91,1.62,40.45,354.22,147.75,"sample_00003-8","12.04.2022","training","Ble",NA
"sample_00004",70.0215857142857,3.31037945849313,4820.92907142857,787.749472150161,322.668996428571,37.0019264114989,128.037452142857,16.2023648702729,47.4093578571428,4.92845474069313,2.69482857142857,0.184897697638809,0,0.07,2.8,70,1249.09,1249,446.1,1291.51,461.25,23.54,8.45,2.39,59.77,588.58,211.35,"sample_00004-103","12.04.2022","training","Ble",NA
"sample_00004",49.7684418604651,3.19548751256641,400.90761627907,180.58018192524,71.2489186046512,16.2303418778872,26.3394104651163,5.96547784680999,18.528561627907,4.98656611365115,1.47027906976744,0.298720631198911,0.03,0.26,1.72,43,384.02,384,223.27,462.93,269.15,30.18,5.21,4.66,116.62,754.58,130.13,"sample_00004-104","12.04.2022","training","Ble",NA
"sample_00004",54.787743902439,8.61399920573019,1409.81487804878,514.286782436336,149.388744512195,35.5216043911655,56.8167091463415,14.0553118591108,30.7654298780488,5.30015971157485,1.84593902439024,0.379149905126008,-0.03,0.66,3.28,82,143.23,72,21.97,332.04,101.23,27.22,0.15,2.98,74.61,680.58,3.65,"sample_00004-11","12.04.2022","training","Ble",NA
"sample_00004",49.5123265306122,1.18071802638188,983.145765306122,363.754301969551,119.085869387755,24.3626075094982,45.9347693877551,9.29727189451862,26.2605306122449,5.59511255097749,1.76271428571429,0.176604430861743,-0.05,0.55,1.96,49,107.59,108,54.89,164.19,83.77,5.77,1.57,0.91,22.77,144.29,39.25,"sample_00004-126","12.04.2022","training","Ble",NA
"sample_00004",76.504975,11.7797271995915,6206.706,1535.85389122374,360.28891125,49.4980078741604,146.57506875,20.0224018702664,53.2001925,11.8842692174094,2.9202,0.776863588989364,0,0.06,1.6,40,589.27,589,368.29,614.19,383.87,22.2,8.44,3.83,95.81,555.07,210.97,"sample_00004-142","12.04.2022","training","Ble",NA
"sample_00004",95.8979831932773,8.47220582605482,8077.33531512605,1404.85671078365,405.431750420168,54.4272328724475,164.86147815126,24.1637054066619,61.5890306722689,6.43636510247322,2.66066386554622,0.27287727039859,0,0.08,4.76,119,1546,1546,324.79,1636.49,343.8,19.05,5.69,3.52,88.09,476.36,142.35,"sample_00004-18","12.04.2022","training","Ble",NA
"sample_00004",80.8611956521739,9.96354793483518,7198.55804347826,1674.72160980298,370.08847173913,70.537496659796,142.585356521739,31.0884846588404,63.3499239130435,9.57868375807993,2.26308695652174,0.476294158691732,0.01,0.17,1.84,46,520.75,521,283.02,563.83,306.43,22.63,1.34,6.93,173.35,565.75,33.54,"sample_00004-2","12.04.2022","training","Ble",NA
"sample_00004",81.642064,5.9599486517381,5298.53238,318.205881698573,295.3937484,9.76565508899918,109.5412572,4.48476244068998,61.6104792,3.21403621085464,1.783496,0.129420832944314,-0.01,0.09,5,125,1193.99,1194,238.8,1416.79,283.36,20.42,3.59,2.82,70.5,510.57,89.64,"sample_00004-5","12.04.2022","training","Ble",NA
"sample_00004",74.276576,4.18516532078753,5525.41176,337.030105529264,336.1882644,23.3798493997147,135.9728532,8.34836765472493,51.82947,3.10115476734851,2.6372,0.277065469146822,0.04,0.3,5,125,668.53,669,133.71,1137.65,227.53,18.14,0.56,4.04,101.05,453.53,14.02,"sample_00004-6","12.04.2022","training","Ble",NA
"sample_00004",88.58644,15.4806043202245,5621.07114,398.247705212607,345.5941788,35.1907096159822,142.567614,18.2828090291695,50.7162384,4.22130752941653,2.852912,0.520401396194601,0.05,0.31,5,125,297.36,121,24.23,896.29,179.26,14.49,0.82,3.36,84.08,362.31,20.4,"sample_00004-7","12.04.2022","training","Ble",NA
"sample_00004",99.7182,7.98385862729577,4009.68954,190.391933422975,236.647656,9.29029169072826,83.2604832,7.37044424726585,61.5829068,3.27238937309836,1.361312,0.182160750349086,0.04,0.28,5,125,354.54,336,67.22,574.5,114.9,7.96,0.4,1.87,46.76,199.05,9.9,"sample_00004-8","12.04.2022","training","Ble",NA
"sample_00004",65.714504,2.92782498987812,5201.42958,313.924227425491,319.3686468,17.9899329244744,128.0042352,7.92915579449337,51.7771116,1.89429509656452,2.477352,0.203736755199828,0,0.06,5,125,2206.89,2207,441.38,2254.77,450.95,30.16,10.53,3.35,83.72,753.94,263.33,"sample_00004-9","12.04.2022","training","Ble",NA
"sample_00005",121.770944,9.69519143558523,14499.1539,1113.66931727699,537.9459804,51.7504417832669,208.426932,23.3044312313376,89.0824067999999,5.36784748115868,2.360464,0.36709420308074,0.03,0.07,5,125,1201.96,1202,240.39,2154.08,430.82,26.7,2.74,5.82,145.61,667.39,68.57,"sample_00005-11","12.04.2022","training","Ble",NA
"sample_00005",49.099611570248,2.32590836152208,434.86958677686,95.0334791371502,75.952026446281,8.44338340881504,27.949752892562,3.33766852187083,19.6341657024793,2.67294417372206,1.4385041322314,0.191427102050491,-0.04,0.24,4.84,121,572.37,572,118.26,828.23,171.12,13.58,2.31,2.06,51.59,339.54,57.69,"sample_00005-16","12.04.2022","training","Ble",NA
"sample_00005",76.73216,9.31739940908337,8546.3586,447.247278375796,430.442424,30.304324490096,178.6316328,16.1171334736892,61.2469512,4.1347656362303,2.94204,0.395223913668548,-0.01,0.08,5,125,1934.46,1934,386.89,2073.32,414.66,22.86,4.98,4.26,106.6,571.62,124.52,"sample_00005-5","12.04.2022","training","Ble",NA
"sample_00005",65.6327088607595,4.51453988668948,5658.8625,1617.95084096722,371.169478481013,51.2975326845094,155.249316455696,21.1364332245626,45.2753601265823,9.99568394440173,3.56072151898734,0.683725164771089,0.02,0.18,3.16,79,1490.02,1490,471.53,1520.54,481.18,31.68,3.92,4.17,104.14,792.02,97.96,"sample_00005-73","12.04.2022","training","Ble",NA
"sample_00006",89.941504,4.39199997911158,6052.5225,327.255368231432,329.3836488,14.5678406930638,125.966664,6.79271342627643,61.2469512,2.86204265047953,2.0636,0.177374990054331,0,0.32,5,125,474.26,474,94.85,500.24,100.05,9.55,0.75,1.96,49.07,238.85,18.76,"sample_00006-4","12.04.2022","training","Ble",NA
"sample_00006",97.3669999999999,6.75289331698181,7769.55015957447,1336.8071860179,358.841546808511,42.6905204318751,135.041088829787,16.9717666692635,72.3582909574468,8.94361699769147,1.87395744680851,0.151205045920071,0,0.05,3.76,94,1688.86,1689,449.16,1695.59,450.95,22.11,4.28,3.1,77.61,552.85,106.9,"sample_00006-43","12.04.2022","training","Ble",NA
"sample_00006",96.07188,3.60515613415188,8646.34824,471.34392868025,382.579686,15.5065531286406,148.1027652,6.32405106474043,74.3205132,2.60592457987056,1.99484,0.103137975234556,0,0.07,5,125,1497.84,1498,299.57,1570.64,314.13,18.08,5.34,1.86,46.47,452.09,133.38,"sample_00006-7","12.04.2022","training","Ble",NA
"sample_00006",57.154472,4.28840740717757,5188.83246,886.714551814901,321.7149576,42.8700213928638,127.9162044,18.0549492824057,51.0945732,4.98250701584709,2.492024,0.273583638918469,0.01,0.09,5,125,2016.12,2016,403.22,2219.16,443.83,26.28,5.96,4.6,115.07,657.05,148.89,"sample_00006-8","12.04.2022","training","Ble",NA
"sample_00007",107.10124,4.30389177673027,10909.6308,319.795155869662,456.2489592,18.0706772995762,178.76133,6.08477204131744,77.747688,2.20053639866987,2.30236,0.127580992618099,0,0.05,5,125,2040.01,2040,408,2081.47,416.29,20.09,11.46,1.93,48.16,502.33,286.44,"sample_00007-1","12.04.2022","training","Ble",NA
"sample_00007",110.775416,17.0942348276159,6986.28402,765.23157874572,347.573106,35.1098724979416,137.5439616,20.5094786289436,65.2130352,4.51602179773101,2.135208,0.42162250536737,0.01,0.14,5,125,1012.25,1012,202.45,1247.47,249.49,19.36,0.13,4.18,104.57,484,3.37,"sample_00007-2","12.04.2022","training","Ble",NA
"sample_00007",138.677144,9.3403481454974,9483.13818,991.475325870298,408.6870228,23.8568300982709,156.8372868,13.6429582204523,76.9095648,3.0637921651461,2.040384,0.171639287178739,-0.07,0.22,5,125,199.4,83,16.63,639.2,127.84,19.39,2.86,1.68,42.1,484.72,71.6,"sample_00007-3","12.04.2022","training","Ble",NA
"sample_00007",110.699352,4.29914740657771,11375.4618,466.909774650708,445.3888032,21.1067086404645,168.2609112,8.88612431010912,86.2049952000001,3.66974621347958,1.95828,0.170475360058563,-0.02,0.1,5,125,1894.9,1895,378.98,2000.12,400.02,24.03,5.34,5.62,140.54,600.66,133.46,"sample_00007-5","12.04.2022","training","Ble",NA
"sample_00008",74.454832,8.14387915488008,3114.90036,185.039468463036,222.7462092,14.2304340142374,83.9818044,8.4718827429422,47.5369236,3.88092544318848,1.789392,0.304472385950601,0.09,0.15,5,125,353.94,197,39.4,1020.12,204.02,20.01,4.08,2.27,56.7,500.3,102.04,"sample_00008-3","12.04.2022","training","Ble",NA
"sample_00008",83.2265714285714,8.63843859851592,5115.54921428571,937.420330540732,304.044415714286,46.0669810955844,121.198911428571,22.1019146816572,53.4848785714286,7.4278941023298,2.28929523809524,0.474780312027199,0,0.07,4.2,105,1443.05,1443,343.58,1487.28,354.11,23.29,5.69,3.95,98.65,582.23,142.2,"sample_00008-49","12.04.2022","training","Ble",NA
"sample_00008",106.355064,18.1045082559405,9091.70892,1659.69448469993,383.9534136,46.9060674367574,142.303878,22.693154517342,81.2805516,8.36597207525756,1.778896,0.374588544681296,-0.03,0.23,5,125,448.11,307,61.46,859.48,171.9,15.91,0.6,3.28,81.89,397.86,14.91,"sample_00008-5","12.04.2022","training","Ble",NA
"sample_00008",62.0123467741936,7.83528269089569,2015.78788306452,616.200278343325,169.763458064516,25.6229359491841,64.7033552419355,9.6485973541712,38.9472822580645,7.72915779092128,1.69204032258065,0.241008565080521,0.07,0.3,5,124,565.77,216,43.17,1072.15,214.43,61.99,0.71,5.89,98.34,774.85,17.86,"sample_00008-6","12.04.2022","training","Ble",NA
"sample_00008",75.683744,6.31096467487213,4393.2456,891.337635361107,279.3753828,29.1599087127482,106.3712088,12.2942574923575,52.09758,6.46070982251376,2.056392,0.21803779991907,0.05,0.5,5,125,311.23,311,62.25,568.45,113.69,17.26,0.36,3.31,82.7,431.58,9.08,"sample_00008-7","12.04.2022","training","Ble",NA
"sample_00009",70.4756842105263,4.39165677798699,3919.33421052632,763.751229932689,283.071978947368,46.8093688753603,113.127015789474,20.6547558479323,43.6300105263158,4.94975474315518,2.58863157894737,0.434786919552019,0,0.07,2.28,57,902.14,902,395.67,928.28,407.14,28.07,7.78,3.49,87.2,701.69,194.6,"sample_00009-1","12.04.2022","training","Ble",NA
"sample_00009",56.1889565217391,4.53325731253589,244.611195652174,105.017119756597,54.9688891304348,12.6584536459108,21.3061695652174,4.88048525739685,14.2156760869565,2.70621959801817,1.50734782608696,0.228907803730444,0.06,1.43,1.44,23,171.78,80,55.84,699.24,485.58,109.6,3.12,37.19,399.79,1370.01,77.89,"sample_00009-138","12.04.2022","training","Ble",NA
"sample_00009",89.422,11.9681096244925,7562.33982,794.766376848993,362.293884,40.6499813562929,139.7281104,19.3754263483562,69.3282564,4.56022275556823,2.035624,0.377916628969423,0.1,0.27,5,125,744.08,597,119.34,1342.46,268.49,26.09,1.67,6.68,166.91,652.35,41.87,"sample_00009-5","12.04.2022","training","Ble",NA
"sample_00009",83.7898849557522,7.67763437542568,5518.78805309735,1015.95305489793,312.685984513274,45.0618903956989,124.254537610619,19.6757777561123,55.7990362831858,6.83629882284517,2.22940707964602,0.271567396172141,0,0.07,4.52,113,1672.65,1673,370.06,1753.9,388.03,29.19,4.63,4.27,106.74,729.74,115.69,"sample_00009-7","12.04.2022","training","Ble",NA
"sample_00009",83.1582923076924,11.6911955824713,7928.21146153846,3183.17659198019,421.949063076923,129.649632537516,162.326990769231,52.8671544648647,58.0644138461538,13.8435426863978,2.72003076923077,0.454512615653803,-0.01,0.16,2.6,65,418.05,418,160.79,440.32,169.35,13.47,2.63,2.34,58.39,336.84,65.72,"sample_00009-8","12.04.2022","training","Ble",NA
"sample_00010",91.337376,2.73359245394372,8530.21854,243.843397603786,432.3428784,18.2279451700811,171.8530668,7.38614222319117,63.27234,2.25819453076796,2.72276,0.20217895299031,0,0.05,5,125,2126.52,2127,425.3,2179.1,435.82,25.42,12.77,2.29,57.23,635.57,319.34,"sample_00010-1","12.04.2022","training","Ble",NA
"sample_00010",65.494144,11.5842417329527,4177.25748,550.676024644798,287.3320452,39.4172304696752,111.6950148,17.5258941836177,47.9042424,3.48131070904415,2.356008,0.466769223492723,-0.06,0.17,5,125,1514.2,1514,302.84,1820.33,364.07,23.96,2.49,5.68,141.99,599.09,62.33,"sample_00010-10","12.04.2022","training","Ble",NA
"sample_00010",104.979208,4.79485162287837,11881.3149,412.754257557563,507.7960956,13.7817648606686,210.5827308,6.61677220928055,71.9407655999999,4.02681795363916,2.940216,0.241704150804509,0.02,0.05,5,125,2228.61,2229,445.72,2500.1,500.02,28.71,4.5,4.79,119.63,717.73,112.6,"sample_00010-12","12.04.2022","training","Ble",NA
"sample_00010",81.542888,7.69277070897757,4661.85294,329.334446753531,260.0275932,12.07095275816,89.8534296,5.42425617078826,66.1347828,3.97217082006735,1.364992,0.132703677660102,0.04,0.2,5,125,660.73,661,132.15,1002.72,200.54,17.91,1.2,3.65,91.15,447.8,30.07,"sample_00010-13","12.04.2022","training","Ble",NA
"sample_00010",53.447304,6.26449382042903,1766.8773,620.621422992128,159.0236064,29.6552367223325,58.1374908,11.904873979506,37.8546048,8.92590090683998,1.581096,0.341115235093514,0.06,0.21,5,125,456.67,452,90.47,1151.42,230.28,16.67,2.38,2.36,58.89,416.65,59.59,"sample_00010-14","12.04.2022","training","Ble",NA
"sample_00010",57.83688,2.4448388646685,1788.92226,107.795027863062,167.8298616,5.30286653666209,67.1112216,1.51078175813022,33.9450588,1.96775319178826,1.98396,0.129732006645959,0,0.12,5,125,738.37,738,147.67,834.21,166.84,11.92,3.49,1.67,41.76,297.89,87.14,"sample_00010-15","12.04.2022","training","Ble",NA
"sample_00010",52.8183076923077,5.85481268543567,931.788173076923,383.468398758984,110.530263461538,22.5698429992172,38.4008538461539,6.16731295411418,29.8259134615385,9.60310005132257,1.42911538461538,0.511593223326742,-0.06,0.73,1.04,26,99.02,56,54.29,166.26,159.87,21.82,0.53,4.78,119.64,545.58,13.31,"sample_00010-17","12.04.2022","training","Ble",NA
