"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment","time","replicate"
"sample_00008",65.794776,0.621722436565572,3042.20448,65.0312433947664,241.870212,8.0516931478161,95.7622824,2.21481544250648,40.4558388,0.690951461925114,2.368208,0.082319332578253,0.01,0.56,5,125,295.16,278,55.67,568.08,113.62,10.48,0.32,2.05,51.24,261.99,8.01,"sample_00008-7","11.05.2022","t7",8,NA,NA,1
"sample_00008",65.438136,11.1900158835138,1701.79218,109.470976475602,170.6973588,11.8479837312162,70.4045844,9.66112138674032,31.46364,5.43739566230263,2.338512,0.603127943629788,0.04,0.54,5,125,316.78,214,42.85,1230.41,246.08,20.35,1.26,4.51,112.67,508.8,31.4,"sample_00008-8","11.05.2022","t7",8,NA,NA,1
"sample_00009",66.9780833333333,7.37694568011558,487.63265625,171.755787425646,82.069875,17.5478844114393,29.826225,6.84655900541877,20.467603125,4.60339004664308,1.5073125,0.437392280051827,0.16,0.85,1.92,48,54.71,24,12.67,272.01,141.67,52.64,0.5,9.32,233.1,1316.02,12.55,"sample_00009-13","11.05.2022","t7",9,NA,NA,1
"sample_00009",69.1476551724138,4.2508857755587,2029.38517241379,536.71699391205,175.090298275862,30.5660572808025,63.4728568965517,10.5338187192297,39.5983862068965,8.24442033654858,1.68965517241379,0.563625146190905,0.04,0.53,1.16,29,325.69,174,149.86,761.94,656.84,39.67,8.92,7.95,198.76,991.79,222.95,"sample_00009-15","11.05.2022","t7",9,NA,NA,1
"sample_00009",68.0597837837838,3.03390272252255,611.768918918919,192.447645760784,97.7098621621622,17.1831444646119,37.5873932432432,6.48437733887682,20.6776581081081,5.63571219411819,1.94991891891892,0.598038384980354,0.24,0.35,1.56,37,47.12,47,30.2,224.55,143.94,47.3,1.02,7.42,73.6,394.14,25.39,"sample_00009-19","11.05.2022","t7",9,NA,NA,1
"sample_00009",57.5553225806452,2.04219973536865,1115.89911290323,204.450166084293,131.81835483871,14.9459938875682,53.1407032258065,5.83101705123751,26.3832677419355,3.84952868248284,2.0428064516129,0.218977383817726,-0.02,0.17,1.24,31,585.15,585,471.9,601.36,484.97,29.21,11.8,4.38,109.51,730.27,294.95,"sample_00009-4","11.05.2022","t7",9,NA,NA,1
"sample_00009",68.253608,0.539637077805015,2796.16698,46.232866969673,225.010548,4.25373806839254,92.2289004,1.42439569414111,38.6055072,0.593071762769495,2.389784,0.0620675469718014,0.03,0.17,5,125,397.01,397,79.4,790.78,158.16,18.73,0.51,2.15,53.65,468.22,12.85,"sample_00009-6","11.05.2022","t7",9,NA,NA,1
"sample_00009",72.4294596774194,1.70298108014637,2437.49086693548,94.3949279181417,192.965908064516,3.19817971264999,74.8154213709677,1.04690537458759,41.4808185483871,1.4570611960809,1.80578225806452,0.0672671606519612,0,0.34,5,124,1811.38,1811,362.28,3455.54,691.11,103.65,6.27,9.28,165.4,1295.57,156.87,"sample_00009-7","11.05.2022","t7",9,NA,NA,1
"sample_00010",59.147472,9.38911013473554,1786.95396,954.171791508691,194.2548156,56.2085628653819,80.2438488,21.247507680229,27.4729644,10.0814216883083,3.148816,1.05193435021454,-0.02,0.46,5,125,972.65,973,194.53,1119.32,223.86,25.93,0.73,3.94,98.43,648.31,18.31,"sample_00010-1","11.05.2022","t7",10,NA,NA,1
"sample_00010",77.4464,1.45958425919075,2700.5076,103.09653244292,204.3501372,4.88204298049323,77.3049744,1.38370673032584,44.4821868,1.6139983861609,1.740264,0.0740704921439814,0.04,0.31,5,125,2157.14,2105,421.09,3670.49,734.1,43.06,7.13,7.64,190.94,1076.45,178.3,"sample_00010-10","11.05.2022","t7",10,NA,NA,1
