"","file","date","time_point","culture_ID","comment","time","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"11","sample_00011","25.04.22","t3",11,NA,13,18.7,0.543604651162791,18623.496915,541.380724273256,88.2574390200093,44.1367910246448,40.6605138823487,16.1825524262798,282.986799521217,169.17806581695,195.997045454545,182.003947053064,0.617613636363636,0.0195348837209302,0.0809883720930233,0.043546511627907,0,0.0388372093023256,0,0.00116279069767442,0.0211627906976744,0.0175581395348837,0.0258720930232558,0
"12","sample_00012","25.04.22","t3",12,NA,13,25.626,0.744941860465116,29356.833645,853.396326889535,84.6607908026441,47.0158649538166,37.2907149979775,14.6227550926878,239.372883507184,137.684610845472,129.098017241379,128.120736272436,0.795775862068966,0.0493604651162791,0.126337209302326,0.0244767441860465,0.00930232558139535,0.0268604651162791,0,0.0146511627906977,0.00813953488372093,0.0412209302325581,0.0171511627906977,0
"13","sample_00013","25.04.22","t3",13,NA,13,20.034,0.582383720930232,19488.827205,566.535674563953,92.1885824706749,41.2415635730407,40.8582007277271,12.1718002223579,276.356445747794,154.156960763231,163.661348314607,157.317811568804,0.709775280898876,0.0224418604651163,0.0773837209302326,0.0159302325581395,0,0.0240116279069767,0.00575581395348837,0.00581395348837209,0.0408720930232558,0.00290697674418605,0.031453488372093,0
"14","sample_00014","25.04.22","t3",14,NA,13,27.272,0.792790697674419,29488.93938,857.236609883721,80.9165971037088,47.5772359233569,37.3671623630755,12.972808011618,222.16349125747,175.345216459679,147.151860465116,183.289341262022,0.623488372093023,0.0224418604651163,0.0884883720930233,0.00726744186046512,0.00255813953488372,0.00680232558139535,0,0,0.00808139534883721,0.00151162790697674,0.00726744186046512,0
"15","sample_00015","25.04.22","t3",15,NA,13,24.502,0.712267441860465,11002.173705,319.830630959302,92.7059875533274,47.0911044272097,41.0032680597638,14.8074113883616,271.200505598113,146.290527924006,157.539302325581,133.761945443834,0.647790697674419,0.0543023255813954,0.0747674418604651,0.00453488372093023,0,0.0351162790697674,0,0.017093023255814,0.0301162790697674,0.0225,0.0228488372093023,0
"16","sample_00016","25.04.22","t3",16,NA,13,22.324,0.648953488372093,25373.060055,737.588955087209,84.4750829100386,53.0139754710481,37.2294035876273,20.4104115972814,307.291253683835,214.746152436055,187.94380952381,231.28981143743,0.754285714285714,0.0207558139534884,0.0308720930232558,0.0047093023255814,0,0.00133720930232558,0,0.0123837209302326,0.00319767441860465,0,0,0
"17","sample_00017","25.04.22","t3",17,NA,13,21.116,0.613837209302326,16893.426825,491.087989098837,98.8043655665985,51.0367512879697,44.2570213884864,14.6557007404827,318.172619225571,207.513795299372,199.299782608696,213.9258354611,0.593913043478261,0.00854651162790698,0.0726744186046512,0.013546511627907,0,0.0108720930232558,0,0.0174418604651163,0.0146511627906977,0.0022093023255814,0.0202906976744186,0
"18","sample_00018","25.04.22","t3",18,NA,13,18.518,0.538313953488372,17567.47116,510.682301162791,93.0631664183278,44.7272241012397,40.764913710037,11.8581121535851,321.378506546353,188.22846597302,206.929210526316,174.559714051181,0.501578947368421,0.00162790697674419,0.0805232558139535,0.0568023255813953,0,0,0,0,0.0130813953488372,0.00156976744186047,0.0072093023255814,0
"19","sample_00019","25.04.22","t3",19,NA,13,11.078,0.32203488372093,9612.58671,279.435660174419,81.4135385957342,31.762258400857,38.8647500512801,11.0096495128025,205.172073033129,111.065353529241,110.92,89.6588086200006,0.668461538461538,0.00383720930232558,0.107732558139535,0.00947674418604651,0.00523255813953488,0.00465116279069767,0.00726744186046512,0.0027906976744186,0.00715116279069767,0.0027906976744186,0.00581395348837209,0
"20","sample_00020","25.04.22","t3",20,NA,13,25.756,0.748720930232558,18530.199495,538.66858997093,87.1162173565389,34.7908980128878,38.0079112725368,12.5248622909996,276.246519196675,209.270109623267,192.337674418605,219.416156878259,0.743023255813953,0.00453488372093023,0.0990116279069767,0.0184302325581395,0,0.00726744186046512,0,0.0144767441860465,0.00901162790697674,0.00313953488372093,0,0
