"file","date","time_point","culture_ID","comment","time","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","video_replicate"
"sample_00040","03.05.22","t5",40,NA,11,17.648,0.513023255813953,63053.57196,1832.95267325581,84.499344421386,35.6304482223843,40.4778394890919,15.0058495066747,218.893007507721,159.829041829686,85.7111538461538,109.16185745312,0.850384615384615,1
"sample_00041","03.05.22","t5",41,NA,11,10.4,0.302325581395349,62482.89618,1816.36326104651,142.354828050823,44.8783571179045,51.7436287991439,10.7678907376517,275.691531207677,220.162066450324,175.24,189.119474503192,0.346666666666667,1
"sample_00042","03.05.22","t5",42,NA,11,28.232,0.820697674418605,119545.88148,3475.17097325581,106.137850606189,47.3249013569612,42.9820839426137,14.3602814473516,271.958634513172,191.107199566493,175.399677419355,174.67213369594,0.459032258064516,1
"sample_00043","03.05.22","t5",43,NA,11,9.608,0.279302325581395,33034.635,960.309156976744,86.4823314315722,58.6124653366273,38.2851715738699,16.3404109142436,254.232069411926,200.253352477619,127.300769230769,163.284155256082,0.658461538461538,1
"sample_00044","03.05.22","t5",44,NA,11,23.632,0.686976744186047,88606.82988,2575.77993837209,101.014591021969,34.8124394960883,42.4346593220544,11.4097508914384,239.679576410746,172.160084683596,155.662666666667,173.423978792524,0.410333333333333,1
"sample_00045","03.05.22","t5",45,NA,11,25.544,0.742558139534884,116405.262,3383.87389534884,100.603734615893,47.1864305052209,44.9614920735646,15.4527834264921,263.640263063282,162.65437911048,142.049189189189,156.061416371504,0.495405405405405,1
"sample_00046","03.05.22","t5",46,NA,11,8.616,0.25046511627907,31057.67448,902.839374418605,108.925119376941,43.7366408360054,40.3933769956311,11.4966043484845,491.877326239384,293.70494080661,275.603,292.354340904245,0.316,1
"sample_00047","03.05.22","t5",47,NA,11,12.52,0.363953488372093,62217.963,1808.66171511628,133.911996238095,45.7272977294229,46.3034437513436,12.9777467227792,213.335541284165,100.641584061047,124.654,72.7642056626353,0.397333333333333,1
"sample_00048","03.05.22","t5",48,NA,11,8.088,0.235116279069767,30816.88578,895.839702906977,105.307896409526,31.3890124416996,42.0229386933168,9.12416259099494,407.428527473372,202.313294006784,261.129090909091,212.864904690959,0.379090909090909,1
"sample_00049","03.05.22","t5",49,NA,11,12.536,0.364418604651163,72064.44936,2094.89678372093,135.993755877251,47.3080687994566,46.8565907092817,9.83214139098934,355.425011365869,208.982578794897,285.755625,206.904993816607,0.190625,1
"sample_00050","03.05.22","t5",50,NA,11,7.856,0.228372093023256,29313.62946,852.14039127907,114.987739612191,23.5452540439648,42.7033859602864,5.71114220913702,459.916876696044,179.814096332898,296.773,158.765468681183,0.349,1
"sample_00051","03.05.22","t5",51,NA,16,17.592,0.511395348837209,92202.52032,2680.30582325581,128.725174747719,42.2619376524554,46.8711240215079,13.7179212161018,266.064283642612,165.094766212014,153.404736842105,150.478480165712,0.385789473684211,1
"sample_00052","03.05.22","t5",52,NA,16,11.312,0.328837209302326,44454.7116,1292.28812790698,119.945256433759,29.2707059306713,43.9863307621331,6.25915745126443,727.3264123941,415.254572435721,663.948666666667,462.500165017216,0.226666666666667,1
"sample_00053","03.05.22","t5",53,NA,16,16.088,0.467674418604651,76233.96486,2216.10362965116,109.913972518324,45.6651411911407,50.1622977995814,14.9460746078618,317.193658925791,182.466298654781,239.391,194.535101930623,0.3085,1
