"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment"
"sample_00001",57.1350102040816,6.00600380117168,1907.87854591837,296.385120408354,203.020135714286,20.2397068015811,89.5045040816327,11.4283136613275,27.3368387755102,4.65850974720131,3.37926530612245,0.777431371334114,-0.04,0.23,3.92,98,1218.54,1219,310.85,1768.78,451.22,31.03,3.76,4.9,122.47,775.66,93.91,"sample_00001-38","17.04.2022","t1",1,NA
"sample_00001",79.8582,20.6051230021925,3084.3261,576.672067679259,237.609288,44.4776887035196,90.0335736,20.8016971589271,44.2943964,4.56401187548008,2.084448,0.623541775717166,-0.05,0.72,5,125,492.17,492,98.43,848.93,169.79,20.4,0.2,4.01,100.35,509.93,4.97,"sample_00001-39","17.04.2022","t1",1,NA
"sample_00001",123.389744,14.744996682256,9322.13124,1175.31139856642,415.8083808,52.0577826074282,159.4223532,25.0028963561948,74.945412,3.85704798872331,2.146176,0.41303893560121,-0.01,0.18,5,125,1018.68,1015,202.95,1256.19,251.24,26.25,2.52,5.93,148.12,656.14,63.09,"sample_00001-40","17.04.2022","t1",1,NA
"sample_00001",59.625496,12.5253818109495,1310.2317,91.7660873941185,169.5992904,16.8841894247892,74.9538684,10.8459629316599,22.8273552,4.17894712779767,3.442568,0.885540443112056,-0.02,0.38,5,125,601.47,601,120.29,1548.73,309.75,19.29,1.71,3.73,93.34,482.21,42.71,"sample_00001-5","17.04.2022","t1",1,NA
"sample_00001",45.2941720430108,0.999419153304818,272.845887096774,67.1425363009921,61.1217725806451,9.65332901592513,23.8976129032258,3.79648233607729,14.3907387096774,1.67712561065654,1.66640860215054,0.230686840079941,-0.01,0.09,3.84,93,1741.29,1741,453.46,1829.86,476.53,42.24,10.22,4.96,76.52,714.04,255.39,"sample_00001-6","17.04.2022","t1",1,NA
"sample_00001",48.0857407407407,1.86262580561365,438.615,118.593992111337,76.80585,10.0035588553236,30.0228,3.87297354680235,18.3207,2.87822185371989,1.65351851851852,0.176125036522433,0.06,0.7,1.2,27,121.2,121,101,154.67,128.89,12.59,1.35,3.19,68.5,286.41,33.67,"sample_00001-62","17.04.2022","t1",1,NA
"sample_00001",72.42976,13.2642740474725,2731.21308,255.24477087649,232.7425488,26.5813209634494,94.17222,14.9102176701147,37.5205932,4.05066343051011,2.56796,0.563223390047656,0,0.38,5,125,506.9,477,95.32,649.34,129.87,9.42,1,1.45,36.28,235.46,25.08,"sample_00001-7","17.04.2022","t1",1,NA
"sample_00001",56.927125,3.85094574098364,1292.72203125,542.540981841381,166.1203265625,54.0084734283934,68.7352078125,25.2059721191671,23.4076921875,4.03612760740141,2.94855208333333,1.05631316996819,-0.02,0.74,3.84,96,587.6,588,153.02,711.54,185.3,20.02,1.26,3.42,85.43,500.48,31.46,"sample_00001-70","17.04.2022","t1",1,NA
"sample_00001",56.3721481481481,4.88794288730092,759.9825,557.814868928389,120.27075,75.8464367929726,41.38305,25.5620220346927,22.36395,3.76766013150582,1.81407407407407,0.936545531601925,-0.06,1.43,1.08,27,80.62,25,23.22,188.4,174.44,31.77,0.72,6.46,161.49,794.19,18.03,"sample_00001-74","17.04.2022","t1",1,NA
"sample_00001",54.5645625,3.06833324448202,463.370625,236.743585011192,82.125140625,36.262988921465,30.576740625,15.7882682103927,19.3148296875,2.03845314123469,1.60503125,0.85652239427534,-0.1,0.71,1.28,32,191.66,165,128.66,254.95,199.18,25.86,3.04,4.21,105.14,646.51,76.03,"sample_00001-77","17.04.2022","t1",1,NA
