"","p_value","delta_AIC"
"194",0.00583000136333314,-6.28947608954377
"195",0.00308016211860415,-7.56554609494287
"196",0.0027147484258411,-7.81811198144305
"197",0.0041908754331385,-6.94969126589694
"198",0.00213675495913865,-8.29693395008326
"199",0.00233237031101731,-8.12174045527718
"200",0.00212274978863349,-8.31008592131366
"201",0.00240672850153019,-8.05897384383798
"202",0.0057548405658473,-6.31542788156139
"203",0.00297587108823288,-7.63443696015111
"204",0.00997467879672065,-5.21541103510935
"205",0.0063637557187301,-6.11427310821318
"206",0.00162354158416229,-8.84629070570418
"207",0.00444320126459734,-6.83276031359537
"208",0.00228154558502802,-8.16580435501601
"209",0.00279031714909058,-7.76320003220007
"210",0.00218154627707195,-8.25544270441469
"211",0.00916872998494427,-5.38391299807972
"212",0.00349924349856963,-7.31041695422982
"213",0.00255420072292084,-7.94003186573991
"214",0.00769497886613155,-5.73437451627342
"215",0.00465644523596377,-6.73900589368805
"216",0.00242511231596563,-8.04375487960624
"217",0.00161953836933587,-8.85122825509188
"218",0.00513018810439272,-6.5452259058975
"219",0.00293001828758438,-7.66549322895253
"220",0.0010328448276278,-9.75087663079285
"221",0.00536855407295784,-6.45439333375043
"222",0.00481921235232397,-6.67028955330761
"223",0.00438980213783254,-6.8569422480391
"224",0.00365259893231635,-7.22463265702845
"225",0.00348936426643748,-7.3160714359492
"226",0.00145508677150684,-9.06537948672485
"227",0.00864322372005325,-5.50195930001928
"228",0.00146776496323897,-9.04802893678743
"229",0.00150806455939933,-8.99385639807997
"230",0.00589193921808952,-6.26834019288299
"231",0.00284492263157043,-7.72443881260142
"232",0.00427221325211105,-6.91124652000963
"233",0.00565894092271865,-6.3490370408058
"234",0.00553006220219787,-6.39511243074821
"235",0.00296790782509154,-7.63979602079053
"236",0.00282187665041482,-7.74070627298897
"237",0.00414480491174847,-6.97179911485136
"238",0.00206568405475716,-8.36458769208093
"239",0.00162270679410581,-8.84731932702653
"240",0.00345037727994324,-7.33854339482514
"241",0.00565296437683103,-6.35115040589699
"242",0.00404990224892652,-7.01812506844499
"243",0.00238021690553998,-8.08112731733991
"244",0.00556051578155323,-6.38412881711156
"245",0.0050605541098118,-6.57255858762073
"246",0.00233070153987921,-8.12317193329227
"247",0.00227697907642965,-8.16981136207642
"248",0.00624071369135384,-6.15332145905313
"249",0.00281053676149926,-7.74875959110204
"250",0.00432246613988903,-6.88785834778582
"251",0.00114748286016809,-9.54036910562763
"252",0.00438325510244471,-6.85992731307351
"253",0.00357954918693252,-7.26503682387329
"254",0.00556316222942215,-6.38317717219115
"255",0.00213176790278724,-8.3016072844257
"256",0.00707058823162119,-5.90362320291342
"257",0.00499390096898652,-6.59907583463973
"258",0.00155495756740158,-8.9326140431358
"259",0.00695932719415823,-5.93534495362883
"260",0.00586206794950864,-6.27850569047496
"261",0.0015191688829165,-8.97918376244343
"262",0.00293299644906955,-7.66346139933921
"263",0.00810435021233742,-5.63070859643813
"264",0.00727132610743329,-5.84763319179183
"265",0.00434733296504371,-6.87638546679091
"266",0.0096445933853151,-5.28271558318693
"267",0.0016521915951898,-8.8113052657809
"268",0.00303239557097324,-7.59680470870262
"269",0.00374405590485053,-7.17517157725433
"270",0.00427509159227883,-6.90989950345693
"271",0.00782745022768793,-5.70023692686254
"272",0.00217139993917785,-8.26476637235419
