"","file","date","time_point","culture_ID","comment","time","replicate","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"11","sample_00011","11.05.2022","t7",11,NA,NA,1,78.192,2.27302325581395,79222.63158,2302.98347616279,76.2954588677022,35.8499801429818,35.1754606967992,12.9441777847452,152.840491158099,94.8167386401156,85.8914285714286,93.1351282621231,0.645,0.0604651162790698,0.35,0,0.0581395348837209,0.0581395348837209,0.0290697674418605,0,0.0288372093023256,0,0.01,0
"12","sample_00012","11.05.2022","t7",12,NA,NA,1,107.192,3.11604651162791,137685.8655,4002.49609011628,104.125625617358,57.4812754350403,45.9854720114733,13.1510534746398,234.401944987277,163.565864760774,119.780571428571,142.390163509878,0.535714285714286,0.0469767441860465,0.360697674418605,0,0.037906976744186,0.00953488372093023,0,0,0,0.0165116279069767,0.0204651162790698,0
"13","sample_00013","11.05.2022","t7",13,NA,NA,1,82.704,2.40418604651163,87994.55736,2557.98131860465,110.833095246234,31.4799944508298,46.6154388426152,7.09538752339793,230.479102918115,153.720392651222,94.131,132.059390549185,0.479,0.113953488372093,0.419767441860465,0,0.0290697674418605,0.113488372093023,0.0355813953488372,0,0,0,0.0581395348837209,0
"14","sample_00014","11.05.2022","t7",14,NA,NA,1,107.648,3.1293023255814,137656.20978,4001.63400523256,113.006145293707,27.1712965567812,49.4301792926533,7.38651262999133,199.515008912704,119.462896446957,94.7093103448276,73.1725774615363,0.490689655172414,0.00674418604651163,0.14046511627907,0,0,0,0.0290697674418605,0.0232558139534884,0,0,0,0
"15","sample_00015","11.05.2022","t7",15,NA,NA,1,98.192,2.85441860465116,43331.99328,1259.65096744186,117.2088144,NA,48.6001944,NA,201.512,NA,193.95,NA,0.26,0.0581395348837209,0.564418604651163,0,0,0,0.0290697674418605,0.0241860465116279,0.0290697674418605,0,0.0574418604651163,0
"16","sample_00016","11.05.2022","t7",16,NA,NA,1,88.024,2.55883720930233,123431.69934,3588.13079476744,161.1666396,NA,67.6765692,NA,558.976,NA,196.57,NA,0.38,0,0.0290697674418605,0,0,0,0,0,0,0,0,0
"17","sample_00017","11.05.2022","t7",17,NA,NA,1,81.88,2.38023255813953,71155.61964,2068.47731511628,127.670418,NA,61.373214,NA,769.768518518518,NA,333.86,NA,0.5,0,0,0,0,0,0,0.0290697674418605,0,0,0,0
"18","sample_00018","11.05.2022","t7",18,NA,NA,1,77.256,2.24581395348837,79823.0943,2320.4387877907,132.1553556,NA,55.4784228,NA,364.91,NA,73.65,NA,0.47,0,0,0,0,0,0,0,0.00581395348837209,0,0,0
"19","sample_00019","11.05.2022","t7",19,NA,NA,1,47.184,1.37162790697674,42018.48108,1221.46747325581,101.673796153846,NA,43.3732673076923,NA,119.938271604938,NA,31.64,NA,1.03,0,0,0,0,0,0,0.0290697674418605,0,0,0,0
"20","sample_00020","11.05.2022","t7",20,NA,NA,1,109.808,3.19209302325581,87614.15058,2546.92298197674,102.957375,8.05730499492543,57.5016852272727,15.3975892501799,301.19696969697,197.986327485864,275.105,214.175572953593,0.215,0,0.0181395348837209,0,0,0,0,0,0,0,0,0
"21","sample_00021","11.05.2022","t7",21,NA,NA,1,129.264,3.75767441860465,117979.63956,3429.64068488372,88.6104684,NA,43.3961388,NA,119.564,NA,72.29,NA,0.44,0,0,0,0,0,0,0,0,0,0,0
