"","file","date","time","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"11","sample_00011","21.04.22",13,"t2",11,NA,78.192,2.27302325581395,79222.63158,2302.98347616279,90.7236452468475,42.2561375459578,39.344095829817,13.510096135792,316.853944610654,189.854383924558,214.195714285714,213.72744944399,0.574489795918367,0.210697674418605,0.252325581395349,0.41,0,0.0288372093023256,0,0.0437209302325581,0.0290697674418605,0.0397674418604651,0.0290697674418605,0
"12","sample_00012","21.04.22",13,"t2",12,NA,107.192,3.11604651162791,137685.8655,4002.49609011628,86.1123868015506,54.5365702228773,41.5292551342879,18.89321324116,285.451421355044,172.684576541507,189.713333333333,183.340320461751,0.499487179487179,0.405813953488372,0.236744186046512,0.111395348837209,0,0.0755813953488372,0,0,0,0,0.0267441860465116,0
"13","sample_00013","21.04.22",14,"t2",13,NA,82.704,2.40418604651163,87994.55736,2557.98131860465,95.3225800201789,57.7306865427455,43.2195000299587,21.3448021710442,303.095375180748,176.039445645361,176.644634146341,171.813327351192,0.567073170731707,0.34046511627907,0.203488372093023,0.134418604651163,0,0.169302325581395,0.00651162790697674,0.0144186046511628,0.0274418604651163,0.0527906976744186,0.0581395348837209,0
"14","sample_00014","21.04.22",14,"t2",14,NA,107.648,3.1293023255814,137656.20978,4001.63400523256,89.2166665013615,47.3202515404352,42.9223076498897,15.3328806568647,273.120948561822,208.536223143885,138.053962264151,185.297276551654,0.657358490566038,0.198837209302326,0.420697674418605,0.0290697674418605,0,0.213255813953488,0,0.0755813953488372,0.0295348837209302,0.0125581395348837,0.0290697674418605,0
"15","sample_00015","21.04.22",14,"t2",15,NA,98.192,2.85441860465116,43331.99328,1259.65096744186,103.820156548569,70.87985785024,44.7825338195074,19.6624904901995,295.161878840794,175.188532279805,177.754166666667,181.903881610591,0.613333333333333,0.177441860465116,0.209302325581395,0.0858139534883721,0,0.144651162790698,0,0.00627906976744186,0,0.0695348837209302,0.0372093023255814,0
"16","sample_00016","21.04.22",14,"t2",16,NA,88.024,2.55883720930233,123431.69934,3588.13079476744,102.844854301148,38.5737610092102,44.611607083814,12.878080902525,291.626966753186,222.399452925539,166.577222222222,194.445908506506,0.607222222222222,0.175813953488372,0.302325581395349,0.0625581395348837,0,0.0232558139534884,0,0.117441860465116,0,0,0,0
"17","sample_00017","21.04.22",14,"t2",17,NA,81.88,2.38023255813953,71155.61964,2068.47731511628,86.8460183471372,54.7248185312233,38.2305549462777,14.6689427261319,274.927006011817,221.198355565052,196.202173913043,223.12198594703,0.599565217391304,0.342325581395349,0.397674418604651,0.0786046511627907,0.0290697674418605,0.00813953488372093,0.0162790697674419,0.0388372093023256,0.0506976744186047,0.00488372093023256,0.0183720930232558,0
"18","sample_00018","21.04.22",14,"t2",18,NA,77.256,2.24581395348837,79823.0943,2320.4387877907,101.288719399631,61.2571452983285,40.0039976022975,12.6414400433517,238.879726412742,143.760775741589,140.213823529412,148.24797054188,0.498529411764706,0.143720930232558,0.452790697674419,0.0702325581395349,0,0,0,0.0583720930232558,0.0158139534883721,0.0376744186046512,0,0
"19","sample_00019","21.04.22",14,"t2",19,NA,47.184,1.37162790697674,42018.48108,1221.46747325581,86.5584469859013,39.597349350875,35.9084651446373,15.8678177652935,260.51995017776,149.624469252614,137.521162790698,144.817773215486,0.63,0.0753488372093023,0.40093023255814,0.0827906976744186,0,0,0.0290697674418605,0.0290697674418605,0.0288372093023256,0.164186046511628,0.0648837209302326,0
"20","sample_00020","21.04.22",14,"t2",20,NA,109.808,3.19209302325581,87614.15058,2546.92298197674,92.5945884161069,65.1370040570995,39.7290794554052,21.7555417250885,241.790109936659,171.265001317077,154.555161290323,148.336726849668,0.51741935483871,0.29906976744186,0.193023255813953,0.11906976744186,0.0290697674418605,0,0,0.0290697674418605,0.0206976744186047,0,0,0
"21","sample_00021","21.04.22",14,"t2",21,NA,129.264,3.75767441860465,117979.63956,3429.64068488372,79.481746787645,47.5934450369083,35.0081657161409,18.6713678459236,282.704356773285,225.422673730932,185.88652173913,230.203374675693,0.590869565217391,0.373255813953488,0.286046511627907,0.143720930232558,0,0.00744186046511628,0,0.0544186046511628,0.0230232558139535,0.0883720930232558,0.0290697674418605,0
"22","sample_00022","21.04.22",14,"t2",22,NA,25.936,0.753953488372093,94252.7016,2739.90411627907,85.3132621581396,39.1630779987757,37.4619590740337,14.8426818902897,216.308821202944,143.519966913387,141.766551724138,142.454686561724,0.476896551724138,0.0767441860465116,0.345116279069767,0.0811627906976744,0.0665116279069767,0,0,0.0167441860465116,0,0.0072093023255814,0.0290697674418605,0
"23","sample_00023","21.04.22",14,"t2",23,NA,11.896,0.345813953488372,40155.15708,1167.30107790698,96.4495706240534,68.3878417549926,36.7793298884269,16.0768933216875,299.236825100924,202.08042449193,235.510227272727,228.995552810363,0.485,0.296976744186047,0.340232558139535,0.121627906976744,0,0.0381395348837209,0,0.043953488372093,0,0.0213953488372093,0.0548837209302326,0
"24","sample_00024","21.04.22",14,"t2",24,NA,18.736,0.544651162790698,78627.94254,2285.69600406977,99.4593300215389,43.9374951802499,39.1486169941589,15.1778451638856,277.484910941896,133.922070407231,184.019130434783,151.53619045299,0.540434782608696,0.108604651162791,0.462093023255814,0.186279069767442,0.0290697674418605,0.0948837209302326,0,0.0295348837209302,0,0.0681395348837209,0.0290697674418605,0
"25","sample_00025","21.04.22",14,"t2",25,NA,30.952,0.899767441860465,115137.80802,3347.02930290698,95.714110939793,43.550754957395,41.4937581856445,14.5865020357488,263.665192909142,211.898293326791,173.094,218.455238697731,0.375333333333333,0.115348837209302,0.336976744186047,0.073953488372093,0,0.052093023255814,0,0.0125581395348837,0.0290697674418605,0,0.0462790697674419,0
"26","sample_00026","21.04.22",14,"t2",26,NA,38.896,1.1306976744186,157002.23682,4564.0185122093,88.5427258078242,39.5201093782793,40.2649420123871,13.8707820003682,198.104260569228,148.441656263619,104.484772727273,144.976486152605,0.683181818181818,0.23,0.611395348837209,0,0,0.0290697674418605,0,0,0.0630232558139535,0,0.0581395348837209,0
"27","sample_00027","21.04.22",14,"t2",27,NA,44.64,1.29767441860465,125188.73514,3639.20741686047,90.0394987102299,65.2814131018292,40.8086748156576,22.7619425427967,226.480476857738,162.377189871704,141.280212765957,153.963699878863,0.546382978723404,0.396976744186047,0.41,0.0488372093023256,0,0.0372093023255814,0,0.0290697674418605,0.00953488372093023,0.0767441860465116,0.0581395348837209,0
"28","sample_00028","21.04.22",14,"t2",28,NA,64.032,1.86139534883721,185046.444,5379.25709302326,75.4446875493908,45.5377198384757,37.4909272927981,15.8784483232783,249.778876922379,174.10183875283,150.707111111111,161.608268966296,0.553777777777778,0.307209302325581,0.231860465116279,0.132093023255814,0,0.0334883720930233,0.0290697674418605,0.0718604651162791,0.0151162790697674,0.0130232558139535,0,0
"29","sample_00029","21.04.22",14,"t2",29,NA,70.392,2.04627906976744,196909.3881,5724.11011918605,98.8751763477986,45.0933093878859,44.931553692891,17.270168230738,261.01490417004,166.013059062136,150.575636363636,146.271367312338,0.582363636363636,0.225813953488372,0.449302325581395,0.0581395348837209,0,0.134883720930233,0,0.00837209302325581,0.01,0.0541860465116279,0.145348837209302,0
"30","sample_00030","21.04.22",14,"t2",30,NA,56.744,1.64953488372093,154371.1446,4487.53327325581,91.5598866460082,54.2418913049316,41.4219849944115,17.1331187119669,379.631304432188,254.801162503945,236.204137931034,261.70964570734,0.468103448275862,0.335348837209302,0.183720930232558,0.336046511627907,0.0111627906976744,0.072093023255814,0.0290697674418605,0.142093023255814,0,0.00697674418604651,0.0581395348837209,0
"31","sample_00031","21.04.22",14,"t2",31,NA,77.696,2.25860465116279,58985.22708,1714.68683372093,100.965811345408,40.2995557537931,42.7285835927652,12.0970540917981,260.107421672294,167.557389667326,178.43275,129.524284427076,0.45625,0.114418604651163,0.543720930232558,0.0581395348837209,0,0.102093023255814,0.0290697674418605,0,0,0,0.043953488372093,0
"32","sample_00032","21.04.22",14,"t2",32,NA,76.432,2.22186046511628,63049.11048,1832.82297906977,83.5611282588876,39.3869036141377,40.4039354716849,17.6464832784758,374.990416527086,244.901584849721,279.604117647059,274.667157965247,0.528235294117647,0.171627906976744,0.223023255813953,0.182790697674419,0.0281395348837209,0.176279069767442,0,0.0290697674418605,0.0253488372093023,0.0688372093023256,0.0290697674418605,0
"33","sample_00033","21.04.22",14,"t2",33,NA,78.208,2.27348837209302,64066.32792,1862.39325348837,86.4942075302702,47.6406320996205,41.3516063098031,17.2785643711534,250.16913800338,162.776501705525,134.123055555556,175.346471441173,0.781666666666667,0.392325581395349,0.443488372093023,0.204651162790698,0,0.236279069767442,0,0.0213953488372093,0.0290697674418605,0.0597674418604651,0.0290697674418605,0
"34","sample_00034","21.04.22",14,"t2",34,NA,25.856,0.751627906976744,117172.50534,3406.17748081395,91.6712009481537,61.4341105343224,39.3046372630787,17.9828771038682,281.259103510772,225.246041586139,170.262888888889,232.437047495193,0.752,0.233488372093023,0.265813953488372,0.0486046511627907,0,0.043953488372093,0.0290697674418605,0.0395348837209302,0.0290697674418605,0.0732558139534884,0.0353488372093023,0
"35","sample_00035","21.04.22",14,"t2",35,NA,33.208,0.965348837209302,144335.70144,4195.80527441861,88.391288426959,42.445236010574,43.3536510179857,15.6618234676935,213.584830681103,165.833340945847,112.936785714286,160.183831947094,0.792857142857143,0.334418604651163,0.783023255813953,0.0623255813953488,0,0.086046511627907,0,0.117674418604651,0.0711627906976744,0.08,0.0216279069767442,0
